rank,pvalue,fdr_exp
1,1.790981e-11,0.000000
2,2.457551e-06,0.001500
3,3.575139e-06,0.001000
4,4.294349e-06,0.001000
5,4.832924e-06,0.000800
6,1.398722e-05,0.002000
7,3.145159e-05,0.006929
8,3.690067e-05,0.008438
9,4.402190e-05,0.009389
10,4.491549e-05,0.008600
11,5.857234e-05,0.010773
12,6.408658e-05,0.010375
13,1.123319e-04,0.033769
14,1.153994e-04,0.031679
15,1.280465e-04,0.032233
16,1.310941e-04,0.031094
17,1.583316e-04,0.032794
18,1.901593e-04,0.036778
19,1.966122e-04,0.035474
20,2.327094e-04,0.037300
21,2.424749e-04,0.037905
22,2.441406e-04,0.036295
23,2.468033e-04,0.034761
24,2.801616e-04,0.038187
25,2.822005e-04,0.036940
26,2.837210e-04,0.036231
27,3.071442e-04,0.037037
28,3.201163e-04,0.036625
29,3.215021e-04,0.035655
30,3.575382e-04,0.044700
31,3.612129e-04,0.044742
32,3.838720e-04,0.055359
33,3.848380e-04,0.054485
34,3.970899e-04,0.063706
35,3.998667e-04,0.063871
36,4.105298e-04,0.068236
37,4.118835e-04,0.067162
38,4.182711e-04,0.068079
39,4.193047e-04,0.066692
40,4.411723e-04,0.069463
41,4.430677e-04,0.067963
42,5.159518e-04,0.071619
43,5.567529e-04,0.071698
44,5.787037e-04,0.077705
45,6.226647e-04,0.081344
46,6.642984e-04,0.093935
47,6.751543e-04,0.092500
48,7.440476e-04,0.092542
49,8.370536e-04,0.104541
50,8.436740e-04,0.102690
51,8.602509e-04,0.109461
52,9.247418e-04,0.141464
53,9.247418e-04,0.141464
54,9.247418e-04,0.141464
55,9.247418e-04,0.141464
56,9.764771e-04,0.142634
57,1.013056e-03,0.141991
58,1.039417e-03,0.140250
59,1.094648e-03,0.140712
60,1.128472e-03,0.144192
61,1.190303e-03,0.146311
62,1.221065e-03,0.144565
63,1.273148e-03,0.148452
64,1.322751e-03,0.148141
65,1.416873e-03,0.158185
66,1.478909e-03,0.165679
67,1.478909e-03,0.165679
68,1.478909e-03,0.165679
69,1.478909e-03,0.165679
70,1.478909e-03,0.165679
71,1.573083e-03,0.166169
72,1.634276e-03,0.232911
73,1.634276e-03,0.232911
74,1.642290e-03,0.229926
75,1.659518e-03,0.229100
76,1.688357e-03,0.231092
77,1.693061e-03,0.228143
78,1.736111e-03,0.325340
79,1.736111e-03,0.325340
80,1.736111e-03,0.325340
81,1.736111e-03,0.325340
82,1.736111e-03,0.325340
83,1.736111e-03,0.325340
84,1.736111e-03,0.325340
85,1.736111e-03,0.325340
86,1.736111e-03,0.325340
87,1.736111e-03,0.325340
88,1.736111e-03,0.325340
89,1.736111e-03,0.325340
90,1.736111e-03,0.325340
91,1.736111e-03,0.325340
92,1.736111e-03,0.325340
93,1.736111e-03,0.325340
94,1.736111e-03,0.325340
95,1.818182e-03,0.324226
96,1.880787e-03,0.322958
97,1.888021e-03,0.319706
98,2.004540e-03,0.319362
99,2.101931e-03,0.317990
100,2.143024e-03,0.315565
101,2.207570e-03,0.314931
102,2.264293e-03,0.313975
103,2.314815e-03,0.314471
104,2.505836e-03,0.316639
105,2.508249e-03,0.311425
106,2.508249e-03,0.311425
107,2.545383e-03,0.308888
108,2.645503e-03,0.308111
109,2.678571e-03,0.305982
110,3.156433e-03,0.319914
111,3.255645e-03,0.318149
112,3.343621e-03,0.316615
113,3.343621e-03,0.316615
114,3.557505e-03,0.320667
115,3.628027e-03,0.319774
116,3.720212e-03,0.320194
117,3.765555e-03,0.319538
118,4.040404e-03,0.321386
119,4.063467e-03,0.318861
120,4.115226e-03,0.319621
121,4.176312e-03,0.318798
122,4.296716e-03,0.317848
123,4.488310e-03,0.328163
124,4.498839e-03,0.327375
125,4.629630e-03,0.332821
126,4.629630e-03,0.332821
127,4.629630e-03,0.332821
128,4.629630e-03,0.332821
129,4.629630e-03,0.332821
130,4.629630e-03,0.332821
131,4.629630e-03,0.332821
132,4.687500e-03,0.330902
133,4.933301e-03,0.336504
134,4.955227e-03,0.334321
135,5.006473e-03,0.334548
136,5.063657e-03,0.339417
137,5.063657e-03,0.339417
138,5.063657e-03,0.339417
139,5.063657e-03,0.339417
140,5.200501e-03,0.338286
141,5.215420e-03,0.336351
142,5.236951e-03,0.334130
143,5.291005e-03,0.333514
144,5.374436e-03,0.332587
145,5.441164e-03,0.330824
146,5.541578e-03,0.330140
147,5.555556e-03,0.329963
148,5.668541e-03,0.328463
149,5.729167e-03,0.327463
150,5.787037e-03,0.326507
151,6.022805e-03,0.328970
152,6.252572e-03,0.332461
153,6.339500e-03,0.331186
154,6.349206e-03,0.329087
155,6.349206e-03,0.329087
156,6.399697e-03,0.327548
157,6.490009e-03,0.327354
158,6.565657e-03,0.327133
159,6.596646e-03,0.325336
160,6.779427e-03,0.325056
161,6.791258e-03,0.323307
162,6.825658e-03,0.321494
163,6.944444e-03,0.329670
164,6.944444e-03,0.329670
165,6.944444e-03,0.329670
166,6.967923e-03,0.327837
167,7.058487e-03,0.327126
168,7.076852e-03,0.326119
169,7.605820e-03,0.329379
170,7.682111e-03,0.328174
171,7.833168e-03,0.333693
172,7.909702e-03,0.332020
173,7.974399e-03,0.335043
174,8.004386e-03,0.334161
175,8.080808e-03,0.333646
176,8.161642e-03,0.332386
177,8.472570e-03,0.333588
178,8.520276e-03,0.332014
179,8.701989e-03,0.331682
180,8.730159e-03,0.329884
181,8.730159e-03,0.329884
182,8.805419e-03,0.330813
183,8.848509e-03,0.329238
184,8.928571e-03,0.330813
185,9.177246e-03,0.332465
186,9.183414e-03,0.330858
187,9.189113e-03,0.329644
188,9.259259e-03,0.327882
189,9.259259e-03,0.327882
190,9.259259e-03,0.327882
191,9.295348e-03,0.326518
192,9.404762e-03,0.325232
193,9.465096e-03,0.325132
194,9.523810e-03,0.323059
195,9.523810e-03,0.323059
196,9.580872e-03,0.322110
197,9.768010e-03,0.322327
198,9.826408e-03,0.321333
199,9.920635e-03,0.322937
200,9.920635e-03,0.322937
201,1.012188e-02,0.323343
202,1.012868e-02,0.322342
203,1.017501e-02,0.322623
204,1.033646e-02,0.322877
205,1.041667e-02,0.323007
206,1.041667e-02,0.323007
207,1.052252e-02,0.322304
208,1.064815e-02,0.322332
209,1.067251e-02,0.321304
210,1.077194e-02,0.321190
211,1.090238e-02,0.323419
212,1.091383e-02,0.322007
213,1.094276e-02,0.324134
214,1.106322e-02,0.323299
215,1.111111e-02,0.330782
216,1.111111e-02,0.330782
217,1.118073e-02,0.330030
218,1.124339e-02,0.329275
219,1.128472e-02,0.326652
220,1.128472e-02,0.326652
221,1.170381e-02,0.332600
222,1.174242e-02,0.331550
223,1.176303e-02,0.330993
224,1.179138e-02,0.329978
225,1.185345e-02,0.328998
226,1.185950e-02,0.327619
227,1.190476e-02,0.327000
228,1.193074e-02,0.328428
229,1.234692e-02,0.331048
230,1.236772e-02,0.330009
231,1.250000e-02,0.329548
232,1.268808e-02,0.329474
233,1.282909e-02,0.330315
234,1.289683e-02,0.334196
235,1.289683e-02,0.334196
236,1.303855e-02,0.333303
237,1.319444e-02,0.332383
238,1.319444e-02,0.332383
239,1.319444e-02,0.332383
240,1.378788e-02,0.338438
241,1.388889e-02,0.345040
242,1.388889e-02,0.345040
243,1.388889e-02,0.345040
244,1.388889e-02,0.345040
245,1.388889e-02,0.345040
246,1.388889e-02,0.345040
247,1.388889e-02,0.345040
248,1.388889e-02,0.345040
249,1.393229e-02,0.343703
250,1.400670e-02,0.342896
251,1.401812e-02,0.343311
252,1.407225e-02,0.342246
253,1.418803e-02,0.345079
254,1.418803e-02,0.345079
255,1.418803e-02,0.345079
256,1.418803e-02,0.345079
257,1.418803e-02,0.345079
258,1.418803e-02,0.345079
259,1.418803e-02,0.345079
260,1.418803e-02,0.345079
261,1.418803e-02,0.345079
262,1.418803e-02,0.345079
263,1.418803e-02,0.345079
264,1.418803e-02,0.345079
265,1.418803e-02,0.345079
266,1.425225e-02,0.344432
267,1.428571e-02,0.343369
268,1.430976e-02,0.343369
269,1.438272e-02,0.342476
270,1.444117e-02,0.342393
271,1.527778e-02,0.352878
272,1.543860e-02,0.351838
273,1.557569e-02,0.351601
274,1.562500e-02,0.349871
275,1.562500e-02,0.349871
276,1.575772e-02,0.349993
277,1.585040e-02,0.350583
278,1.587302e-02,0.351468
279,1.620370e-02,0.352939
280,1.620370e-02,0.352939
281,1.620370e-02,0.352939
282,1.620370e-02,0.352939
283,1.620370e-02,0.352939
284,1.620370e-02,0.352939
285,1.620370e-02,0.352939
286,1.625387e-02,0.357850
287,1.625387e-02,0.357850
288,1.629505e-02,0.356694
289,1.640625e-02,0.357080
290,1.653163e-02,0.356364
291,1.671694e-02,0.357308
292,1.686132e-02,0.357053
293,1.686508e-02,0.356514
294,1.709402e-02,0.360987
295,1.709402e-02,0.360987
296,1.709402e-02,0.360987
297,1.709402e-02,0.360987
298,1.713612e-02,0.360995
299,1.721524e-02,0.362589
300,1.728395e-02,0.361908
301,1.731205e-02,0.362350
302,1.736111e-02,0.362437
303,1.749902e-02,0.361500
304,1.752265e-02,0.373061
305,1.752265e-02,0.373061
306,1.752265e-02,0.373061
307,1.752265e-02,0.373061
308,1.752265e-02,0.373061
309,1.752265e-02,0.373061
310,1.752265e-02,0.373061
311,1.752265e-02,0.373061
312,1.752265e-02,0.373061
313,1.769677e-02,0.373665
314,1.782662e-02,0.375912
315,1.784444e-02,0.375113
316,1.785714e-02,0.378375
317,1.795735e-02,0.378109
318,1.801816e-02,0.377403
319,1.802957e-02,0.376511
320,1.805556e-02,0.376449
321,1.805556e-02,0.376449
322,1.825397e-02,0.376835
323,1.864734e-02,0.383150
324,1.875000e-02,0.380367
325,1.875000e-02,0.380367
326,1.875000e-02,0.380367
327,1.908978e-02,0.382122
328,1.918836e-02,0.381535
329,1.945153e-02,0.382486
330,1.954538e-02,0.381855
331,1.959593e-02,0.381208
332,1.962963e-02,0.380291
333,1.967593e-02,0.379401
334,1.984127e-02,0.379220
335,2.020202e-02,0.382997
336,2.033730e-02,0.383190
337,2.050804e-02,0.382680
338,2.078988e-02,0.383219
339,2.081925e-02,0.382177
340,2.083333e-02,0.380413
341,2.083333e-02,0.380413
342,2.095734e-02,0.380450
343,2.102623e-02,0.380171
344,2.109375e-02,0.379247
345,2.134503e-02,0.381107
346,2.134503e-02,0.381107
347,2.134503e-02,0.381107
348,2.134503e-02,0.381107
349,2.134503e-02,0.381107
350,2.134503e-02,0.381107
351,2.134503e-02,0.381107
352,2.134503e-02,0.381107
353,2.134503e-02,0.381107
354,2.134503e-02,0.381107
355,2.134503e-02,0.381107
356,2.138310e-02,0.380448
357,2.172580e-02,0.380353
358,2.173682e-02,0.379405
359,2.187500e-02,0.379169
360,2.192308e-02,0.378283
361,2.196040e-02,0.377302
362,2.201837e-02,0.376496
363,2.204857e-02,0.376058
364,2.205525e-02,0.375124
365,2.209795e-02,0.374453
366,2.222222e-02,0.380081
367,2.222222e-02,0.380081
368,2.222222e-02,0.380081
369,2.222222e-02,0.380081
370,2.222222e-02,0.380081
371,2.222222e-02,0.380081
372,2.228541e-02,0.379266
373,2.232143e-02,0.381096
374,2.232143e-02,0.381096
375,2.256944e-02,0.380455
376,2.263374e-02,0.379803
377,2.286562e-02,0.379052
378,2.299107e-02,0.378971
379,2.314815e-02,0.378617
380,2.315466e-02,0.377949
381,2.339181e-02,0.377864
382,2.349715e-02,0.377225
383,2.370690e-02,0.376234
384,2.370690e-02,0.376234
385,2.382092e-02,0.376752
386,2.388182e-02,0.376172
387,2.391975e-02,0.375862
388,2.400628e-02,0.375043
389,2.446895e-02,0.382635
390,2.446895e-02,0.382635
391,2.446895e-02,0.382635
392,2.446895e-02,0.382635
393,2.446895e-02,0.382635
394,2.455357e-02,0.382173
395,2.469136e-02,0.396901
396,2.469136e-02,0.396901
397,2.469136e-02,0.396901
398,2.469136e-02,0.396901
399,2.469136e-02,0.396901
400,2.469136e-02,0.396901
401,2.470238e-02,0.396146
402,2.501136e-02,0.395988
403,2.546296e-02,0.398527
404,2.551440e-02,0.397670
405,2.552836e-02,0.396889
406,2.578875e-02,0.397453
407,2.599962e-02,0.397087
408,2.600251e-02,0.396592
409,2.605651e-02,0.396202
410,2.613636e-02,0.395585
411,2.624333e-02,0.395270
412,2.688802e-02,0.397147
413,2.692986e-02,0.415230
414,2.692986e-02,0.415230
415,2.692986e-02,0.415230
416,2.692986e-02,0.415230
417,2.692986e-02,0.415230
418,2.692986e-02,0.415230
419,2.692986e-02,0.415230
420,2.692986e-02,0.415230
421,2.692986e-02,0.415230
422,2.692986e-02,0.415230
423,2.692986e-02,0.415230
424,2.692986e-02,0.415230
425,2.692986e-02,0.415230
426,2.692986e-02,0.415230
427,2.692986e-02,0.415230
428,2.692986e-02,0.415230
429,2.692986e-02,0.415230
430,2.692986e-02,0.415230
431,2.692986e-02,0.415230
432,2.692986e-02,0.415230
433,2.692986e-02,0.415230
434,2.692986e-02,0.415230
435,2.692986e-02,0.415230
436,2.711890e-02,0.415510
437,2.716503e-02,0.416415
438,2.721272e-02,0.415686
439,2.729045e-02,0.418242
440,2.729045e-02,0.418242
441,2.729045e-02,0.418242
442,2.729045e-02,0.418242
443,2.738754e-02,0.417710
444,2.777778e-02,0.498294
445,2.777778e-02,0.498294
446,2.777778e-02,0.498294
447,2.777778e-02,0.498294
448,2.777778e-02,0.498294
449,2.777778e-02,0.498294
450,2.777778e-02,0.498294
451,2.777778e-02,0.498294
452,2.777778e-02,0.498294
453,2.777778e-02,0.498294
454,2.777778e-02,0.498294
455,2.777778e-02,0.498294
456,2.777778e-02,0.498294
457,2.777778e-02,0.498294
458,2.777778e-02,0.498294
459,2.777778e-02,0.498294
460,2.777778e-02,0.498294
461,2.777778e-02,0.498294
462,2.777778e-02,0.498294
463,2.777778e-02,0.498294
464,2.777778e-02,0.498294
465,2.777778e-02,0.498294
466,2.777778e-02,0.498294
467,2.777778e-02,0.498294
468,2.777778e-02,0.498294
469,2.777778e-02,0.498294
470,2.777778e-02,0.498294
471,2.777778e-02,0.498294
472,2.777778e-02,0.498294
473,2.777778e-02,0.498294
474,2.777778e-02,0.498294
475,2.777778e-02,0.498294
476,2.777778e-02,0.498294
477,2.777778e-02,0.498294
478,2.777778e-02,0.498294
479,2.777778e-02,0.498294
480,2.777778e-02,0.498294
481,2.777778e-02,0.498294
482,2.777778e-02,0.498294
483,2.777778e-02,0.498294
484,2.777778e-02,0.498294
485,2.777778e-02,0.498294
486,2.777778e-02,0.498294
487,2.777778e-02,0.498294
488,2.777778e-02,0.498294
489,2.777778e-02,0.498294
490,2.777778e-02,0.498294
491,2.777778e-02,0.498294
492,2.777778e-02,0.498294
493,2.777778e-02,0.498294
494,2.777778e-02,0.498294
495,2.777778e-02,0.498294
496,2.777778e-02,0.498294
