resample,min_pval_exp,min_pval_theta
0,1.144047e-02,1.000000e+00
1,3.406154e-04,1.000000e+00
2,4.608792e-03,1.000000e+00
3,6.696429e-04,1.000000e+00
4,4.201389e-03,1.000000e+00
5,2.768736e-04,1.000000e+00
6,8.757138e-04,1.000000e+00
7,7.777312e-04,1.000000e+00
8,6.989538e-04,1.000000e+00
9,3.548499e-03,1.000000e+00
10,1.770475e-03,1.000000e+00
11,1.109467e-02,1.000000e+00
12,6.085259e-04,1.000000e+00
13,1.686952e-03,1.000000e+00
14,1.296788e-03,1.000000e+00
15,3.183763e-04,1.000000e+00
16,9.993356e-04,1.000000e+00
17,5.153217e-03,1.000000e+00
18,2.143347e-05,1.000000e+00
19,8.757138e-04,1.000000e+00
20,3.462570e-03,1.000000e+00
21,1.336844e-04,1.000000e+00
22,6.828502e-04,1.000000e+00
23,3.054874e-04,1.000000e+00
24,1.153549e-03,1.000000e+00
25,1.434949e-03,1.000000e+00
26,1.161265e-03,1.000000e+00
27,3.580729e-04,1.000000e+00
28,7.554977e-04,1.000000e+00
29,6.499014e-03,1.000000e+00
30,1.889881e-03,1.000000e+00
31,3.276203e-03,1.000000e+00
32,1.307929e-03,1.000000e+00
33,4.133813e-03,1.000000e+00
34,3.437409e-03,1.000000e+00
35,2.176876e-03,1.000000e+00
36,6.770833e-03,1.000000e+00
37,4.666150e-04,1.000000e+00
38,5.795749e-05,1.000000e+00
39,8.122896e-04,1.000000e+00
40,2.431149e-03,1.000000e+00
41,2.567459e-03,1.000000e+00
42,2.673611e-03,1.000000e+00
43,1.091232e-03,1.000000e+00
44,4.433453e-03,1.000000e+00
45,2.011687e-03,1.000000e+00
46,2.721088e-03,1.000000e+00
47,1.953125e-03,1.000000e+00
48,1.221094e-03,1.000000e+00
49,1.692708e-03,1.000000e+00
50,3.388695e-04,1.000000e+00
51,2.149471e-03,1.000000e+00
52,4.782442e-03,1.000000e+00
53,4.047856e-04,1.000000e+00
54,3.351212e-04,1.000000e+00
55,2.377002e-03,1.000000e+00
56,1.063988e-03,1.000000e+00
57,4.608792e-03,1.000000e+00
58,1.522587e-03,1.000000e+00
