A,B,intersection,union,jaccard
alg0_mastro_random,alg1_expected_uniform,648,652,0.9938650306748467
alg0_mastro_random,alg2_theta0.5,648,652,0.9938650306748467
alg0_mastro_random,alg2_theta1.0,648,652,0.9938650306748467
alg0_mastro_random,alg3_theta0.5,648,652,0.9938650306748467
alg0_mastro_random,alg3_theta1.0,648,652,0.9938650306748467
alg1_expected_uniform,alg2_theta0.5,648,648,1.0
alg1_expected_uniform,alg2_theta1.0,648,648,1.0
alg1_expected_uniform,alg3_theta0.5,648,648,1.0
alg1_expected_uniform,alg3_theta1.0,648,648,1.0
alg2_theta0.5,alg2_theta1.0,648,648,1.0
alg2_theta0.5,alg3_theta0.5,648,648,1.0
alg2_theta0.5,alg3_theta1.0,648,648,1.0
alg2_theta1.0,alg3_theta0.5,648,648,1.0
alg2_theta1.0,alg3_theta1.0,648,648,1.0
alg3_theta0.5,alg3_theta1.0,648,648,1.0
