resample,min_pval_exp,min_pval_theta
176,6.944444e-05,1.000000e+00
177,2.082546e-04,1.000000e+00
178,1.095922e-04,1.000000e+00
179,3.932023e-04,1.000000e+00
180,6.944444e-05,1.000000e+00
181,3.915362e-04,1.000000e+00
182,6.944444e-05,1.000000e+00
183,3.429112e-04,1.000000e+00
184,2.755732e-04,1.000000e+00
185,3.804287e-04,1.000000e+00
186,1.157407e-04,1.000000e+00
187,1.157407e-04,1.000000e+00
188,2.445471e-04,1.000000e+00
189,5.919666e-05,1.000000e+00
190,2.191627e-04,1.000000e+00
191,1.797027e-05,1.000000e+00
192,3.349994e-04,1.000000e+00
193,1.498661e-04,1.000000e+00
194,3.972009e-04,1.000000e+00
195,6.944444e-05,1.000000e+00
196,6.944444e-05,1.000000e+00
197,2.893519e-04,1.000000e+00
198,1.759990e-04,1.000000e+00
199,3.637676e-04,1.000000e+00
200,9.743481e-05,1.000000e+00
201,2.481836e-04,1.000000e+00
202,7.233796e-05,1.000000e+00
203,7.087307e-04,1.000000e+00
204,2.551834e-04,1.000000e+00
205,3.843163e-04,1.000000e+00
206,2.445471e-04,1.000000e+00
207,6.557180e-04,1.000000e+00
208,5.686737e-05,1.000000e+00
209,4.960317e-04,1.000000e+00
210,1.417234e-04,1.000000e+00
211,3.998667e-04,1.000000e+00
212,6.944444e-05,1.000000e+00
213,1.322751e-04,1.000000e+00
214,2.729634e-04,1.000000e+00
215,1.900505e-04,1.000000e+00
216,6.944444e-05,1.000000e+00
217,1.869658e-04,1.000000e+00
218,1.227683e-04,1.000000e+00
219,9.401909e-05,1.000000e+00
220,3.376652e-04,1.000000e+00
221,6.944444e-05,1.000000e+00
222,3.852049e-04,1.000000e+00
223,3.211509e-04,1.000000e+00
224,1.731179e-04,1.000000e+00
225,2.480159e-04,1.000000e+00
226,3.665445e-04,1.000000e+00
227,6.944444e-05,1.000000e+00
228,6.297658e-05,1.000000e+00
229,3.712096e-04,1.000000e+00
230,1.417234e-04,1.000000e+00
231,3.472222e-04,1.000000e+00
232,7.233796e-05,1.000000e+00
233,6.944444e-05,1.000000e+00
234,3.962013e-04,1.000000e+00
235,4.120879e-04,1.000000e+00
236,1.092863e-03,1.000000e+00
237,6.944444e-05,1.000000e+00
238,3.472222e-04,1.000000e+00
239,3.943130e-04,1.000000e+00
240,3.621015e-04,1.000000e+00
241,6.944444e-05,1.000000e+00
242,3.998667e-04,1.000000e+00
243,6.944444e-05,1.000000e+00
244,2.109857e-05,1.000000e+00
245,9.074632e-05,1.000000e+00
246,3.692103e-04,1.000000e+00
247,3.794291e-04,1.000000e+00
248,2.166376e-04,1.000000e+00
249,1.406089e-04,1.000000e+00
250,9.645062e-04,1.000000e+00
251,1.406089e-04,1.000000e+00
252,6.944444e-05,1.000000e+00
253,1.393079e-04,1.000000e+00
254,5.787037e-04,1.000000e+00
255,7.626467e-05,1.000000e+00
256,9.384798e-04,1.000000e+00
257,1.358085e-04,1.000000e+00
258,1.247758e-04,1.000000e+00
259,1.157407e-04,1.000000e+00
260,3.879818e-04,1.000000e+00
261,3.843163e-04,1.000000e+00
262,5.511464e-04,1.000000e+00
263,4.165278e-04,1.000000e+00
264,1.220082e-04,1.000000e+00
265,2.445471e-04,1.000000e+00
266,6.944444e-05,1.000000e+00
267,3.943130e-04,1.000000e+00
268,3.400822e-04,1.000000e+00
269,3.333333e-04,1.000000e+00
270,2.445471e-04,1.000000e+00
271,3.653103e-04,1.000000e+00
272,3.349994e-04,1.000000e+00
273,3.832056e-04,1.000000e+00
274,6.944444e-05,1.000000e+00
275,4.026436e-04,1.000000e+00
276,3.306878e-04,1.000000e+00
277,3.796512e-04,1.000000e+00
278,4.026436e-04,1.000000e+00
279,2.445471e-04,1.000000e+00
280,3.643230e-04,1.000000e+00
281,2.806791e-05,1.000000e+00
282,7.233796e-05,1.000000e+00
283,6.944444e-05,1.000000e+00
284,3.776519e-04,1.000000e+00
285,3.998667e-04,1.000000e+00
286,3.306878e-05,1.000000e+00
287,3.472222e-04,1.000000e+00
288,2.755732e-04,1.000000e+00
289,3.487980e-04,1.000000e+00
290,1.417234e-04,1.000000e+00
291,6.753364e-04,1.000000e+00
292,1.900505e-04,1.000000e+00
293,7.936508e-04,1.000000e+00
294,6.944444e-05,1.000000e+00
295,6.944444e-05,1.000000e+00
296,3.804287e-04,1.000000e+00
297,1.498661e-04,1.000000e+00
298,3.887593e-04,1.000000e+00
299,3.827405e-06,1.000000e+00
300,3.976452e-04,1.000000e+00
301,3.563989e-04,1.000000e+00
302,3.654337e-04,1.000000e+00
303,5.498794e-04,1.000000e+00
304,6.944444e-05,1.000000e+00
305,3.970899e-04,1.000000e+00
306,1.406089e-04,1.000000e+00
307,3.393759e-05,1.000000e+00
308,3.572143e-04,1.000000e+00
309,1.246753e-04,1.000000e+00
310,6.944444e-05,1.000000e+00
311,1.028893e-03,1.000000e+00
312,6.944444e-05,1.000000e+00
313,3.692308e-04,1.000000e+00
314,3.342219e-04,1.000000e+00
315,3.820949e-04,1.000000e+00
316,2.480159e-04,1.000000e+00
317,1.358085e-04,1.000000e+00
318,3.211509e-04,1.000000e+00
319,3.612129e-04,1.000000e+00
320,7.233796e-05,1.000000e+00
321,6.944444e-05,1.000000e+00
322,3.832056e-04,1.000000e+00
323,4.165278e-04,1.000000e+00
324,7.233796e-05,1.000000e+00
325,2.469136e-04,1.000000e+00
326,1.759990e-04,1.000000e+00
327,6.944444e-05,1.000000e+00
328,1.227683e-04,1.000000e+00
329,2.480159e-04,1.000000e+00
330,1.262626e-04,1.000000e+00
331,4.131956e-04,1.000000e+00
332,3.337776e-04,1.000000e+00
333,3.804866e-04,1.000000e+00
334,3.690992e-04,1.000000e+00
335,6.944444e-05,1.000000e+00
336,3.345551e-04,1.000000e+00
337,3.532156e-04,1.000000e+00
338,9.093915e-05,1.000000e+00
339,1.736111e-04,1.000000e+00
340,1.577909e-04,1.000000e+00
341,1.417234e-04,1.000000e+00
342,2.143347e-05,1.000000e+00
343,3.720238e-04,1.000000e+00
344,6.944444e-05,1.000000e+00
345,3.669888e-04,1.000000e+00
346,3.782377e-04,1.000000e+00
347,4.026436e-04,1.000000e+00
348,2.438323e-04,1.000000e+00
349,2.185612e-04,1.000000e+00
350,2.715007e-04,1.000000e+00
351,6.944444e-05,1.000000e+00
352,5.827206e-04,1.000000e+00
353,3.332223e-04,1.000000e+00
354,1.227683e-04,1.000000e+00
355,3.576586e-04,1.000000e+00
356,2.594089e-04,1.000000e+00
357,6.944444e-05,1.000000e+00
358,4.728013e-05,1.000000e+00
359,1.530583e-04,1.000000e+00
360,3.748750e-04,1.000000e+00
361,1.984449e-04,1.000000e+00
362,2.551020e-04,1.000000e+00
363,2.111978e-05,1.000000e+00
364,3.845385e-04,1.000000e+00
365,1.262626e-04,1.000000e+00
366,3.804866e-04,1.000000e+00
367,5.128205e-04,1.000000e+00
368,4.199211e-05,1.000000e+00
369,6.944444e-05,1.000000e+00
370,1.406089e-04,1.000000e+00
371,6.944444e-05,1.000000e+00
372,3.812063e-04,1.000000e+00
373,1.779879e-05,1.000000e+00
374,6.809484e-05,1.000000e+00
375,2.179991e-04,1.000000e+00
376,5.511464e-04,1.000000e+00
377,7.199066e-05,1.000000e+00
378,2.271474e-04,1.000000e+00
379,9.093915e-05,1.000000e+00
380,4.199211e-05,1.000000e+00
381,7.578263e-05,1.000000e+00
382,3.779289e-05,1.000000e+00
383,5.686737e-05,1.000000e+00
384,4.187493e-04,1.000000e+00
385,9.419893e-05,1.000000e+00
386,2.876498e-04,1.000000e+00
387,3.892036e-04,1.000000e+00
388,3.487980e-04,1.000000e+00
389,5.686737e-05,1.000000e+00
390,1.869658e-04,1.000000e+00
391,1.742079e-04,1.000000e+00
392,1.929012e-04,1.000000e+00
393,4.960317e-04,1.000000e+00
394,6.944444e-05,1.000000e+00
395,2.612627e-04,1.000000e+00
396,3.754304e-04,1.000000e+00
397,4.137510e-04,1.000000e+00
398,6.944444e-05,1.000000e+00
399,3.472222e-04,1.000000e+00
400,2.551020e-04,1.000000e+00
401,5.787037e-04,1.000000e+00
402,3.832056e-04,1.000000e+00
403,3.607686e-04,1.000000e+00
404,3.965192e-04,1.000000e+00
405,8.792327e-05,1.000000e+00
406,5.787037e-04,1.000000e+00
407,2.032539e-04,1.000000e+00
408,3.943130e-04,1.000000e+00
409,7.233796e-05,1.000000e+00
410,9.093915e-05,1.000000e+00
411,1.759990e-04,1.000000e+00
412,1.221001e-04,1.000000e+00
413,3.388505e-04,1.000000e+00
414,1.577909e-04,1.000000e+00
415,6.944444e-05,1.000000e+00
416,1.984449e-04,1.000000e+00
417,2.551020e-04,1.000000e+00
418,3.332223e-04,1.000000e+00
419,1.825778e-04,1.000000e+00
420,7.440476e-04,1.000000e+00
421,1.406089e-04,1.000000e+00
422,3.495501e-04,1.000000e+00
423,1.055451e-04,1.000000e+00
424,6.517894e-04,1.000000e+00
425,6.944444e-05,1.000000e+00
426,3.985338e-04,1.000000e+00
427,4.109741e-04,1.000000e+00
428,3.306878e-04,1.000000e+00
429,6.944444e-05,1.000000e+00
430,1.074366e-04,1.000000e+00
431,1.946549e-04,1.000000e+00
432,7.233796e-05,1.000000e+00
433,6.944444e-05,1.000000e+00
434,1.488095e-04,1.000000e+00
435,6.944444e-05,1.000000e+00
436,1.148222e-04,1.000000e+00
437,1.734704e-04,1.000000e+00
438,1.872874e-04,1.000000e+00
439,4.561211e-04,1.000000e+00
440,3.374614e-05,1.000000e+00
441,3.887593e-04,1.000000e+00
442,1.092863e-03,1.000000e+00
443,3.728757e-04,1.000000e+00
444,3.340376e-04,1.000000e+00
445,1.162858e-05,1.000000e+00
446,6.181201e-04,1.000000e+00
447,4.081973e-04,1.000000e+00
448,2.438323e-04,1.000000e+00
449,9.462154e-05,1.000000e+00
450,1.197848e-04,1.000000e+00
451,6.071463e-04,1.000000e+00
452,9.645062e-04,1.000000e+00
453,6.809484e-05,1.000000e+00
454,7.626467e-05,1.000000e+00
455,2.204586e-05,1.000000e+00
456,1.869658e-04,1.000000e+00
457,2.445471e-04,1.000000e+00
458,9.743481e-05,1.000000e+00
459,1.929012e-04,1.000000e+00
460,4.188275e-05,1.000000e+00
461,4.546958e-04,1.000000e+00
462,6.517894e-04,1.000000e+00
463,3.572143e-04,1.000000e+00
464,2.240925e-04,1.000000e+00
465,2.445471e-04,1.000000e+00
466,3.832056e-04,1.000000e+00
467,1.240079e-04,1.000000e+00
468,3.748750e-04,1.000000e+00
469,3.996446e-04,1.000000e+00
470,1.406089e-04,1.000000e+00
471,1.797027e-05,1.000000e+00
472,2.976190e-04,1.000000e+00
473,1.167559e-04,1.000000e+00
474,6.809484e-05,1.000000e+00
475,3.765412e-04,1.000000e+00
476,3.865378e-04,1.000000e+00
477,3.669888e-04,1.000000e+00
478,1.286008e-04,1.000000e+00
479,1.197848e-04,1.000000e+00
480,4.418006e-04,1.000000e+00
481,3.967566e-04,1.000000e+00
482,7.416161e-06,1.000000e+00
483,2.267574e-04,1.000000e+00
484,6.944444e-05,1.000000e+00
485,3.970899e-04,1.000000e+00
486,4.011996e-04,1.000000e+00
487,6.071463e-04,1.000000e+00
488,2.185727e-04,1.000000e+00
489,3.554406e-05,1.000000e+00
490,3.661002e-04,1.000000e+00
491,4.578755e-06,1.000000e+00
492,6.355519e-04,1.000000e+00
493,1.977984e-04,1.000000e+00
494,1.406089e-04,1.000000e+00
495,2.480159e-04,1.000000e+00
496,3.642878e-04,1.000000e+00
497,6.346663e-04,1.000000e+00
498,1.869658e-04,1.000000e+00
499,1.417234e-04,1.000000e+00
500,3.652116e-04,1.000000e+00
501,3.687660e-04,1.000000e+00
502,3.943130e-04,1.000000e+00
503,2.192059e-04,1.000000e+00
504,9.401909e-05,1.000000e+00
505,3.868710e-04,1.000000e+00
506,3.775408e-04,1.000000e+00
507,2.708978e-04,1.000000e+00
508,3.621015e-04,1.000000e+00
509,2.551020e-04,1.000000e+00
510,6.944444e-05,1.000000e+00
511,3.625458e-04,1.000000e+00
512,6.944444e-05,1.000000e+00
513,3.338887e-04,1.000000e+00
514,4.578755e-06,1.000000e+00
515,6.944444e-05,1.000000e+00
516,6.665634e-04,1.000000e+00
517,4.199211e-05,1.000000e+00
518,3.798734e-04,1.000000e+00
519,3.876194e-06,1.000000e+00
520,9.122423e-04,1.000000e+00
521,2.755732e-04,1.000000e+00
522,5.919666e-05,1.000000e+00
523,5.787037e-04,1.000000e+00
524,3.832056e-04,1.000000e+00
525,1.406089e-04,1.000000e+00
526,3.720238e-04,1.000000e+00
527,3.812063e-04,1.000000e+00
528,3.798734e-04,1.000000e+00
529,5.822870e-05,1.000000e+00
530,3.804287e-04,1.000000e+00
531,2.480159e-04,1.000000e+00
532,3.858025e-04,1.000000e+00
533,3.804287e-04,1.000000e+00
534,3.517346e-04,1.000000e+00
535,3.472222e-04,1.000000e+00
536,6.944444e-05,1.000000e+00
537,2.408890e-04,1.000000e+00
538,3.796512e-04,1.000000e+00
539,2.755732e-04,1.000000e+00
540,1.530583e-04,1.000000e+00
541,2.551020e-04,1.000000e+00
542,4.177542e-05,1.000000e+00
543,1.237476e-04,1.000000e+00
544,3.372209e-04,1.000000e+00
545,4.061212e-05,1.000000e+00
546,3.872043e-04,1.000000e+00
547,1.406089e-04,1.000000e+00
548,6.944444e-05,1.000000e+00
549,3.393759e-05,1.000000e+00
550,3.943130e-04,1.000000e+00
551,2.109850e-05,1.000000e+00
552,4.256359e-04,1.000000e+00
553,9.645062e-04,1.000000e+00
554,1.211311e-05,1.000000e+00
555,6.889330e-04,1.000000e+00
556,6.331272e-05,1.000000e+00
557,6.809484e-05,1.000000e+00
558,6.944444e-05,1.000000e+00
559,1.227683e-04,1.000000e+00
560,2.192059e-04,1.000000e+00
561,3.658780e-04,1.000000e+00
562,3.642878e-04,1.000000e+00
563,3.495501e-04,1.000000e+00
564,1.577909e-04,1.000000e+00
565,1.736111e-04,1.000000e+00
566,2.099605e-05,1.000000e+00
567,6.607771e-05,1.000000e+00
568,3.472222e-04,1.000000e+00
569,6.944444e-05,1.000000e+00
570,9.685410e-04,1.000000e+00
571,5.818630e-04,1.000000e+00
572,1.307570e-04,1.000000e+00
573,6.944444e-05,1.000000e+00
574,6.944444e-05,1.000000e+00
575,6.944444e-05,1.000000e+00
576,6.944444e-05,1.000000e+00
577,8.793484e-06,1.000000e+00
578,6.987444e-05,1.000000e+00
579,3.338887e-04,1.000000e+00
580,3.587693e-04,1.000000e+00
581,1.417234e-04,1.000000e+00
582,6.944444e-05,1.000000e+00
583,6.944444e-05,1.000000e+00
584,1.736111e-04,1.000000e+00
585,3.501401e-05,1.000000e+00
586,1.791226e-04,1.000000e+00
587,3.923137e-04,1.000000e+00
588,1.977984e-04,1.000000e+00
589,1.028893e-03,1.000000e+00
590,2.844481e-04,1.000000e+00
591,6.669960e-04,1.000000e+00
592,2.445471e-04,1.000000e+00
593,2.480159e-04,1.000000e+00
594,2.170669e-04,1.000000e+00
595,1.240079e-04,1.000000e+00
596,3.723203e-04,1.000000e+00
597,7.233796e-05,1.000000e+00
598,3.723203e-04,1.000000e+00
599,5.741114e-05,1.000000e+00
600,1.512623e-04,1.000000e+00
601,2.199518e-04,1.000000e+00
602,3.720982e-04,1.000000e+00
603,1.543210e-04,1.000000e+00
604,6.944444e-05,1.000000e+00
605,3.306878e-04,1.000000e+00
606,3.482173e-04,1.000000e+00
607,2.727865e-04,1.000000e+00
608,7.233796e-05,1.000000e+00
609,6.944444e-05,1.000000e+00
610,1.134441e-04,1.000000e+00
611,6.181201e-04,1.000000e+00
612,3.732089e-04,1.000000e+00
613,1.863251e-05,1.000000e+00
614,7.233796e-05,1.000000e+00
615,4.487179e-05,1.000000e+00
616,1.262626e-04,1.000000e+00
617,3.589744e-04,1.000000e+00
618,9.797352e-05,1.000000e+00
619,6.944444e-05,1.000000e+00
620,3.306878e-04,1.000000e+00
621,6.944444e-05,1.000000e+00
622,2.049910e-05,1.000000e+00
623,3.494575e-04,1.000000e+00
624,2.612627e-04,1.000000e+00
625,2.551020e-04,1.000000e+00
626,3.779289e-05,1.000000e+00
627,2.551020e-04,1.000000e+00
628,4.246982e-04,1.000000e+00
629,6.944444e-05,1.000000e+00
630,2.708978e-04,1.000000e+00
631,3.733200e-04,1.000000e+00
632,6.944444e-05,1.000000e+00
633,1.074366e-04,1.000000e+00
634,1.559405e-04,1.000000e+00
