pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,99.000000,99,3.379459e-11,
TP53->-PIK3CA,2,1,84.000000,84,2.445947e-02,
PIK3CA->-TP53,2,1,68.000000,68,7.338466e-01,
MAP3K1->-PIK3CA,2,1,48.000000,48,4.350135e-02,
PIK3CA->-GATA3,2,1,43.000000,43,1.724322e-01,
TP53->-PTEN,2,1,38.000000,38,3.743088e-05,
GATA3->-PIK3CA,2,1,37.000000,37,6.543759e-01,
PIK3CA->-MAP3K1,2,1,33.000000,33,9.461272e-01,
PIK3CA->-KMT2C,2,1,33.000000,33,6.340114e-02,
CBFB->-PIK3CA,2,1,33.000000,33,3.438314e-06,
TP53->-KMT2C,2,1,29.000000,29,9.024147e-05,
PIK3CA->-KMT2C TP53->-KMT2C TP53->-PIK3CA,3,3,4.000000,4,1.799315e-01,
PIK3CA->-KMT2C PIK3CA->-TP53 TP53->-KMT2C,3,3,3.000000,3,4.007730e-01,
PIK3CA->-CDH1,2,1,28.000000,28,1.000000e+00,
PIK3CA->-FOXA1,2,1,27.000000,27,4.733348e-03,
TP53->-NF1,2,1,27.000000,27,5.687692e-03,
CDH1->-TP53,2,1,26.000000,26,1.033847e-01,
CDH1->-PIK3CA CDH1->-TP53 TP53->-PIK3CA,3,3,2.000000,2,6.369561e-01,
CDH1->-PIK3CA CDH1->-TP53 PIK3CA->-TP53,3,3,2.000000,2,6.369561e-01,
PIK3CA->-ESR1,2,1,26.000000,26,8.851311e-02,
TP53->-MAP3K1,2,1,25.000000,25,3.402742e-05,
MAP3K1->-PIK3CA TP53->-MAP3K1 TP53->-PIK3CA,3,3,2.000000,2,4.144991e-01,
PIK3CA->-MAP3K1 PIK3CA->-TP53 TP53->-MAP3K1,3,3,2.000000,2,4.144991e-01,
CDH1->-KMT2C,2,1,24.000000,24,1.555216e-04,
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,4.962764e-03,
CDH1->-KMT2C CDH1->-TP53 TP53->-KMT2C,3,3,2.000000,2,3.745482e-01,
TP53->-KMT2D,2,1,24.000000,24,1.888662e-06,
KMT2C->-PIK3CA,2,1,21.000000,21,9.562227e-01,
KMT2C->-PIK3CA TP53->-KMT2C TP53->-PIK3CA,3,3,3.000000,3,4.007730e-01,
CDH1->-KMT2C CDH1->-PIK3CA KMT2C->-PIK3CA,3,3,5.000000,5,7.558519e-02,
TP53->-RB1,2,1,21.000000,21,8.279313e-03,
CBFB->-GATA3,2,1,21.000000,21,3.393179e-04,
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,7.261349e-02,
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,6.000000,6,2.065798e-02,
PIK3CA->-FAT1,2,1,20.000000,20,3.321357e-04,
CDH1->-FOXA1,2,1,19.000000,19,9.441376e-04,
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,3.450441e-04,
CDH1->-MAP3K1,2,1,19.000000,19,1.005801e-03,
CDH1->-MAP3K1 CDH1->-PIK3CA MAP3K1->-PIK3CA,3,3,4.000000,4,2.100509e-01,
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,9.455568e-04,
CDH1->-MAP3K1 CDH1->-TP53 TP53->-MAP3K1,3,3,3.000000,3,1.620370e-02,
PIK3CA->-SF3B1,2,1,19.000000,19,8.265177e-06,
CDH1->-ERBB2,2,1,19.000000,19,6.910075e-02,
AKT1->-TP53,2,1,19.000000,19,9.767024e-05,
TP53->-NCOR1,2,1,19.000000,19,1.332882e-02,
TP53->-CDH1,2,1,19.000000,19,8.000963e-01,
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,4.388616e-02,
CDH1->-KMT2C TP53->-CDH1 TP53->-KMT2C,3,3,3.000000,3,1.225409e-01,
TP53->-ARID1A,2,1,18.000000,18,3.094429e-04,
CDH1->-TBX3,2,1,18.000000,18,3.510418e-02,
PIK3CA->-ARID1A,2,1,18.000000,18,4.738573e-01,
PIK3CA->-ARID1A PIK3CA->-TP53 TP53->-ARID1A,3,3,3.000000,3,8.148244e-02,
TP53->-FAT1,2,1,18.000000,18,2.013647e-04,
PIK3CA->-FAT1 TP53->-FAT1 TP53->-PIK3CA,3,3,4.000000,4,3.698845e-02,
PIK3CA->-FAT1 PIK3CA->-TP53 TP53->-FAT1,3,3,3.000000,3,1.498100e-01,
PIK3CA->-RUNX1,2,1,18.000000,18,4.210375e-02,
MAP2K4->-PIK3CA,2,1,18.000000,18,3.172709e-02,
ESR1->-PIK3CA,2,1,17.000000,17,9.111183e-01,
CDH1->-ARID1A,2,1,17.000000,17,2.824401e-03,
CDH1->-ARID1A CDH1->-TP53 TP53->-ARID1A,3,3,2.000000,2,1.196689e-01,
CDH1->-ARID1A CDH1->-PIK3CA PIK3CA->-ARID1A,3,3,4.000000,4,1.716616e-01,
CDH1->-ARID1A PIK3CA->-ARID1A PIK3CA->-CDH1,3,3,2.000000,2,6.773799e-01,
TBX3->-PIK3CA,2,1,17.000000,17,3.049569e-01,
CDH1->-PIK3CA CDH1->-TBX3 TBX3->-PIK3CA,3,3,5.000000,5,6.178206e-02,
TP53->-GATA3,2,1,17.000000,17,2.193762e-02,
PIK3CA->-GATA3 TP53->-GATA3 TP53->-PIK3CA,3,3,2.000000,2,3.800982e-01,
PIK3CA->-GATA3 PIK3CA->-TP53 TP53->-GATA3,3,3,3.000000,3,1.292247e-01,
NCOR1->-PIK3CA,2,1,16.000000,16,5.984918e-01,
NCOR1->-PIK3CA TP53->-NCOR1 TP53->-PIK3CA,3,3,3.000000,3,1.443886e-01,
PIK3CA->-NCOR1,2,1,16.000000,16,5.984918e-01,
