pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,100.000000,100,2.278837e-11,
TP53->-PIK3CA,2,1,84.000000,84,2.482310e-02,
PIK3CA->-TP53,2,1,68.000000,68,7.361272e-01,
MAP3K1->-PIK3CA,2,1,48.000000,48,4.264578e-02,
PIK3CA->-GATA3,2,1,41.000000,41,2.861538e-01,
TP53->-PTEN,2,1,38.000000,38,3.121868e-05,
GATA3->-PIK3CA,2,1,36.000000,36,7.114427e-01,
PIK3CA->-MAP3K1,2,1,33.000000,33,9.450369e-01,
PIK3CA->-KMT2C,2,1,33.000000,33,5.524933e-02,
CBFB->-PIK3CA,2,1,33.000000,33,4.606947e-06,
TP53->-KMT2C,2,1,29.000000,29,5.670439e-05,
PIK3CA->-CDH1,2,1,29.000000,29,1.000000e+00,
PIK3CA->-ESR1,2,1,28.000000,28,2.483442e-02,
PIK3CA->-FOXA1,2,1,27.000000,27,4.120287e-03,
TP53->-NF1,2,1,27.000000,27,5.923084e-03,
TP53->-MAP3K1,2,1,25.000000,25,4.737127e-05,
CDH1->-TP53,2,1,25.000000,25,1.434911e-01,
TP53->-KMT2D,2,1,24.000000,24,1.279239e-06,
CDH1->-KMT2C,2,1,23.000000,23,5.631607e-04,
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,4.464988e-03,
KMT2C->-PIK3CA,2,1,22.000000,22,9.146063e-01,
CDH1->-KMT2C CDH1->-PIK3CA KMT2C->-PIK3CA,3,3,5.000000,5,7.102933e-02,
TP53->-RB1,2,1,21.000000,21,4.925782e-03,
CBFB->-GATA3,2,1,21.000000,21,4.130363e-04,
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,8.248899e-02,
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,6.000000,6,2.448343e-02,
PIK3CA->-FAT1,2,1,20.000000,20,3.640781e-04,
CDH1->-MAP3K1,2,1,19.000000,19,7.544068e-04,
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,1.175986e-03,
PIK3CA->-SF3B1,2,1,19.000000,19,9.748671e-06,
CDH1->-ERBB2,2,1,19.000000,19,6.939129e-02,
AKT1->-TP53,2,1,19.000000,19,1.871819e-05,
PIK3CA->-ARID1A,2,1,19.000000,19,3.591158e-01,
TP53->-NCOR1,2,1,19.000000,19,1.365904e-02,
TP53->-CDH1,2,1,19.000000,19,7.711848e-01,
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,4.778371e-02,
CDH1->-FOXA1,2,1,18.000000,18,2.905803e-03,
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,3.071442e-04,
TP53->-ARID1A,2,1,18.000000,18,3.599233e-04,
TP53->-FAT1,2,1,18.000000,18,1.266771e-04,
PIK3CA->-RUNX1,2,1,18.000000,18,4.310151e-02,
MAP2K4->-PIK3CA,2,1,18.000000,18,4.179209e-02,
PIK3CA->-NCOR1,2,1,18.000000,18,3.438602e-01,
ESR1->-PIK3CA,2,1,17.000000,17,9.094241e-01,
CDH1->-ARID1A,2,1,17.000000,17,2.789297e-03,
CDH1->-ARID1A CDH1->-PIK3CA PIK3CA->-ARID1A,3,3,5.000000,5,6.696655e-02,
CDH1->-TBX3,2,1,17.000000,17,9.124793e-02,
TBX3->-PIK3CA,2,1,17.000000,17,3.327408e-01,
CDH1->-PIK3CA CDH1->-TBX3 TBX3->-PIK3CA,3,3,5.000000,5,7.033303e-02,
