dataset,min_pval_exp,min_pval_theta
428,3.472222e-04,3.472222e-04
429,5.137176e-04,5.137176e-04
430,4.089748e-04,4.089748e-04
431,3.609908e-04,3.609908e-04
432,8.101852e-04,8.101852e-04
433,6.944444e-05,6.944444e-05
434,7.233796e-05,7.233796e-05
435,6.061868e-04,6.317732e-04
436,3.345551e-04,3.345551e-04
437,3.737298e-04,3.737298e-04
438,3.992003e-04,3.992003e-04
439,4.124612e-04,4.124612e-04
440,3.472222e-04,3.472222e-04
441,1.256947e-04,1.256947e-04
442,2.802789e-04,2.792463e-04
443,3.868710e-04,3.868710e-04
444,4.566811e-04,6.944444e-04
445,6.062794e-04,9.834838e-04
446,7.331854e-05,3.070270e-04
447,4.822531e-04,4.822531e-04
448,4.220910e-04,4.220910e-04
449,3.354437e-04,3.354437e-04
450,4.001759e-04,9.987613e-04
451,4.720649e-04,4.720649e-04
452,6.944444e-05,6.944444e-05
453,3.965345e-04,3.965345e-04
454,8.465638e-05,5.787037e-04
455,3.681565e-04,8.680556e-04
456,3.943130e-04,3.943130e-04
457,3.554371e-04,3.554371e-04
458,3.345551e-04,3.345551e-04
459,2.480159e-04,2.480159e-04
460,3.434411e-04,3.434411e-04
461,4.302846e-04,6.525603e-04
462,3.582139e-04,3.582139e-04
463,3.752944e-04,3.752944e-04
464,4.782517e-05,4.782517e-05
465,4.411228e-04,4.411228e-04
466,7.937356e-04,7.937356e-04
467,4.782517e-05,4.782517e-05
468,7.440476e-04,7.440476e-04
469,7.495591e-04,7.495591e-04
470,4.134177e-04,4.134177e-04
471,4.998334e-04,4.998334e-04
472,4.717693e-04,4.717693e-04
473,3.398867e-04,3.398867e-04
474,3.734205e-04,3.734205e-04
475,7.233796e-05,6.488948e-04
476,9.023362e-04,9.226944e-04
477,4.137510e-04,4.137510e-04
478,6.944444e-05,6.944444e-05
479,3.682106e-04,3.682106e-04
480,1.418341e-04,2.480159e-04
481,3.572143e-04,3.572143e-04
482,3.401724e-04,3.401724e-04
483,1.364087e-05,1.364087e-05
484,3.970899e-04,3.970899e-04
485,4.109741e-04,4.109741e-04
486,6.944444e-05,6.944444e-05
487,6.479322e-04,6.479322e-04
488,3.462179e-04,3.462179e-04
489,3.740975e-04,3.740975e-04
490,3.672109e-04,3.672109e-04
491,3.545639e-04,3.545639e-04
492,3.511052e-04,3.511052e-04
493,6.978785e-04,6.978785e-04
494,1.139323e-04,1.139323e-04
495,3.712096e-04,3.712096e-04
496,5.732535e-05,5.732535e-05
497,3.712096e-04,3.712096e-04
498,3.792069e-04,3.792069e-04
499,4.982642e-04,4.982642e-04
