resample,min_pval_exp,min_pval_theta
0,1.105217e-05,1.000000e+00
1,4.133598e-04,1.000000e+00
2,8.585165e-04,1.000000e+00
3,1.110001e-04,1.000000e+00
4,1.277616e-05,1.000000e+00
5,2.979691e-04,1.000000e+00
6,1.653439e-04,1.000000e+00
7,7.233796e-05,1.000000e+00
8,3.574346e-05,1.000000e+00
9,6.565126e-05,1.000000e+00
10,8.267196e-05,1.000000e+00
11,1.495969e-04,1.000000e+00
12,4.728013e-05,1.000000e+00
13,3.735269e-04,1.000000e+00
14,6.598793e-04,1.000000e+00
15,3.192351e-04,1.000000e+00
16,1.590948e-04,1.000000e+00
17,5.686737e-05,1.000000e+00
18,2.143347e-05,1.000000e+00
19,3.823170e-04,1.000000e+00
20,4.219700e-05,1.000000e+00
21,1.447493e-04,1.000000e+00
22,3.776519e-04,1.000000e+00
23,3.823578e-05,1.000000e+00
24,3.635455e-04,1.000000e+00
25,3.643230e-04,1.000000e+00
26,3.655041e-05,1.000000e+00
27,3.812063e-04,1.000000e+00
28,6.835937e-05,1.000000e+00
29,6.944444e-04,1.000000e+00
30,3.943130e-04,1.000000e+00
31,2.314815e-04,1.000000e+00
32,2.861722e-04,1.000000e+00
33,1.413579e-04,1.000000e+00
34,1.104798e-04,1.000000e+00
35,1.590948e-04,1.000000e+00
36,3.772076e-04,1.000000e+00
37,3.728910e-04,1.000000e+00
38,3.879818e-04,1.000000e+00
39,3.732089e-04,1.000000e+00
40,1.786484e-04,1.000000e+00
41,6.944444e-05,1.000000e+00
42,3.695324e-04,1.000000e+00
43,6.944444e-05,1.000000e+00
44,3.290980e-04,1.000000e+00
45,2.525253e-04,1.000000e+00
46,6.944444e-05,1.000000e+00
47,5.380962e-05,1.000000e+00
48,8.847584e-05,1.000000e+00
49,3.417378e-04,1.000000e+00
50,3.569461e-04,1.000000e+00
51,1.984127e-04,1.000000e+00
52,3.776519e-04,1.000000e+00
53,6.944444e-05,1.000000e+00
54,2.314815e-04,1.000000e+00
55,9.096816e-05,1.000000e+00
56,3.728910e-04,1.000000e+00
57,1.169591e-04,1.000000e+00
58,7.365320e-05,1.000000e+00
59,3.728910e-04,1.000000e+00
60,9.645062e-04,1.000000e+00
61,3.687660e-04,1.000000e+00
62,2.537570e-04,1.000000e+00
63,6.450856e-04,1.000000e+00
64,2.979691e-04,1.000000e+00
65,6.944444e-05,1.000000e+00
66,5.961374e-05,1.000000e+00
67,1.488095e-04,1.000000e+00
68,3.665445e-04,1.000000e+00
69,6.944444e-05,1.000000e+00
70,1.039136e-04,1.000000e+00
71,2.755732e-04,1.000000e+00
72,5.372111e-05,1.000000e+00
73,6.915474e-05,1.000000e+00
74,3.838720e-04,1.000000e+00
75,4.078640e-04,1.000000e+00
76,3.290980e-04,1.000000e+00
77,1.434582e-05,1.000000e+00
78,3.632123e-04,1.000000e+00
79,6.944444e-05,1.000000e+00
80,6.915474e-05,1.000000e+00
81,1.580680e-04,1.000000e+00
82,2.649086e-04,1.000000e+00
83,3.859825e-04,1.000000e+00
84,2.893519e-04,1.000000e+00
85,6.977150e-04,1.000000e+00
86,1.017501e-05,1.000000e+00
87,6.915474e-05,1.000000e+00
88,3.518974e-04,1.000000e+00
89,5.787037e-05,1.000000e+00
90,1.417234e-04,1.000000e+00
91,1.139323e-04,1.000000e+00
92,6.944444e-05,1.000000e+00
93,3.306878e-04,1.000000e+00
94,3.669888e-04,1.000000e+00
95,1.627650e-04,1.000000e+00
96,3.341109e-04,1.000000e+00
97,6.944444e-05,1.000000e+00
98,2.979691e-04,1.000000e+00
99,2.221052e-05,1.000000e+00
100,2.314815e-04,1.000000e+00
101,4.327039e-05,1.000000e+00
102,3.954237e-04,1.000000e+00
103,1.105705e-04,1.000000e+00
104,1.319493e-04,1.000000e+00
105,4.026436e-04,1.000000e+00
106,6.944444e-05,1.000000e+00
107,3.919805e-04,1.000000e+00
108,3.554254e-04,1.000000e+00
109,7.441385e-06,1.000000e+00
110,3.595871e-04,1.000000e+00
111,3.932023e-04,1.000000e+00
112,2.976190e-04,1.000000e+00
113,9.185773e-05,1.000000e+00
114,3.638787e-04,1.000000e+00
115,3.472222e-04,1.000000e+00
116,6.915474e-05,1.000000e+00
117,6.944444e-05,1.000000e+00
118,3.735269e-04,1.000000e+00
119,4.882175e-04,1.000000e+00
120,6.944444e-05,1.000000e+00
121,6.944444e-05,1.000000e+00
122,1.017501e-05,1.000000e+00
123,2.065960e-04,1.000000e+00
124,8.928571e-04,1.000000e+00
125,3.347773e-04,1.000000e+00
126,2.861722e-04,1.000000e+00
127,3.442076e-04,1.000000e+00
128,6.944444e-05,1.000000e+00
129,1.759801e-04,1.000000e+00
130,6.944444e-05,1.000000e+00
131,3.635455e-04,1.000000e+00
132,3.652116e-04,1.000000e+00
133,6.944444e-05,1.000000e+00
134,1.417234e-04,1.000000e+00
135,7.539400e-04,1.000000e+00
136,5.983926e-04,1.000000e+00
137,1.759801e-04,1.000000e+00
138,3.639812e-04,1.000000e+00
139,1.417234e-04,1.000000e+00
140,4.026436e-04,1.000000e+00
141,1.633987e-04,1.000000e+00
142,3.146161e-04,1.000000e+00
143,3.383132e-04,1.000000e+00
144,6.915474e-05,1.000000e+00
145,6.944444e-05,1.000000e+00
146,1.786484e-04,1.000000e+00
147,6.495654e-05,1.000000e+00
148,1.146819e-04,1.000000e+00
149,6.944444e-05,1.000000e+00
150,3.472222e-04,1.000000e+00
151,3.518827e-04,1.000000e+00
152,9.330068e-05,1.000000e+00
153,3.968254e-04,1.000000e+00
154,6.944444e-05,1.000000e+00
155,3.345551e-04,1.000000e+00
156,6.944444e-05,1.000000e+00
157,1.187783e-04,1.000000e+00
158,3.710683e-05,1.000000e+00
159,3.086420e-05,1.000000e+00
160,2.775003e-05,1.000000e+00
161,4.078159e-04,1.000000e+00
162,3.766522e-04,1.000000e+00
163,1.786484e-04,1.000000e+00
164,6.944444e-05,1.000000e+00
165,6.944444e-05,1.000000e+00
166,3.868710e-04,1.000000e+00
167,6.944444e-05,1.000000e+00
168,1.653439e-04,1.000000e+00
169,7.578628e-04,1.000000e+00
170,3.625458e-04,1.000000e+00
171,3.776519e-04,1.000000e+00
172,3.740975e-04,1.000000e+00
173,3.359991e-04,1.000000e+00
174,3.970899e-04,1.000000e+00
175,2.817695e-04,1.000000e+00
176,2.480159e-04,1.000000e+00
177,2.861722e-04,1.000000e+00
178,2.693603e-04,1.000000e+00
179,3.464349e-05,1.000000e+00
180,6.944444e-05,1.000000e+00
181,4.822531e-04,1.000000e+00
182,6.944444e-05,1.000000e+00
183,1.286008e-04,1.000000e+00
184,6.200397e-04,1.000000e+00
185,3.156566e-05,1.000000e+00
186,1.590948e-04,1.000000e+00
187,1.201555e-04,1.000000e+00
188,9.330068e-05,1.000000e+00
189,5.110217e-05,1.000000e+00
190,3.301321e-04,1.000000e+00
191,2.221052e-05,1.000000e+00
192,3.337776e-04,1.000000e+00
193,2.703499e-04,1.000000e+00
194,5.686737e-05,1.000000e+00
195,6.944444e-05,1.000000e+00
196,6.944444e-05,1.000000e+00
197,1.322751e-04,1.000000e+00
198,6.338183e-04,1.000000e+00
199,3.306878e-04,1.000000e+00
200,7.440476e-05,1.000000e+00
201,6.829976e-04,1.000000e+00
202,7.233796e-05,1.000000e+00
203,2.630471e-04,1.000000e+00
204,3.340990e-05,1.000000e+00
205,4.055315e-04,1.000000e+00
206,3.728910e-04,1.000000e+00
207,1.028893e-03,1.000000e+00
208,7.794785e-05,1.000000e+00
209,5.310458e-04,1.000000e+00
210,1.417234e-04,1.000000e+00
211,1.636738e-04,1.000000e+00
212,6.944444e-05,1.000000e+00
213,1.653439e-04,1.000000e+00
214,1.653439e-04,1.000000e+00
215,3.606856e-04,1.000000e+00
216,6.944444e-05,1.000000e+00
217,1.562500e-04,1.000000e+00
218,3.976452e-04,1.000000e+00
219,2.630471e-04,1.000000e+00
220,1.929012e-04,1.000000e+00
221,6.944444e-05,1.000000e+00
222,3.894257e-04,1.000000e+00
223,3.192586e-04,1.000000e+00
224,6.567758e-05,1.000000e+00
225,7.578628e-04,1.000000e+00
226,3.290980e-04,1.000000e+00
227,6.944444e-05,1.000000e+00
228,3.542153e-04,1.000000e+00
229,3.290980e-04,1.000000e+00
230,1.322751e-04,1.000000e+00
231,3.472222e-04,1.000000e+00
232,7.233796e-05,1.000000e+00
233,6.944444e-05,1.000000e+00
234,3.860935e-04,1.000000e+00
235,7.091037e-04,1.000000e+00
236,8.163265e-04,1.000000e+00
237,6.944444e-05,1.000000e+00
238,3.472222e-04,1.000000e+00
239,4.105298e-04,1.000000e+00
240,1.406053e-04,1.000000e+00
241,6.944444e-05,1.000000e+00
242,4.165278e-04,1.000000e+00
243,6.944444e-05,1.000000e+00
244,8.699956e-05,1.000000e+00
245,6.099689e-05,1.000000e+00
246,3.998600e-05,1.000000e+00
247,3.880929e-04,1.000000e+00
248,3.595871e-04,1.000000e+00
249,1.590948e-04,1.000000e+00
250,4.171423e-04,1.000000e+00
251,1.201555e-04,1.000000e+00
252,6.944444e-05,1.000000e+00
253,1.554595e-04,1.000000e+00
254,3.754304e-04,1.000000e+00
255,4.193047e-04,1.000000e+00
256,4.323854e-04,1.000000e+00
257,3.332223e-04,1.000000e+00
258,2.326534e-04,1.000000e+00
259,3.687660e-04,1.000000e+00
260,3.728910e-04,1.000000e+00
261,1.201555e-04,1.000000e+00
262,1.201555e-04,1.000000e+00
263,3.290980e-04,1.000000e+00
264,4.814233e-05,1.000000e+00
265,3.728910e-04,1.000000e+00
266,6.944444e-05,1.000000e+00
267,3.192351e-04,1.000000e+00
268,3.735269e-04,1.000000e+00
269,3.332223e-04,1.000000e+00
270,2.371542e-04,1.000000e+00
271,2.630471e-04,1.000000e+00
272,3.333333e-04,1.000000e+00
273,2.976190e-04,1.000000e+00
274,6.944444e-05,1.000000e+00
275,1.183432e-04,1.000000e+00
276,3.398466e-04,1.000000e+00
277,3.932023e-04,1.000000e+00
278,4.137510e-04,1.000000e+00
279,2.314815e-04,1.000000e+00
280,4.026436e-04,1.000000e+00
281,2.234539e-05,1.000000e+00
282,1.417003e-04,1.000000e+00
283,6.944444e-05,1.000000e+00
284,4.026436e-04,1.000000e+00
285,3.804287e-04,1.000000e+00
286,3.859825e-04,1.000000e+00
287,3.472222e-04,1.000000e+00
288,3.996446e-04,1.000000e+00
289,3.472608e-04,1.000000e+00
290,5.849625e-04,1.000000e+00
291,5.290148e-04,1.000000e+00
292,3.695324e-04,1.000000e+00
293,3.290980e-04,1.000000e+00
294,4.629630e-05,1.000000e+00
295,6.944444e-05,1.000000e+00
296,3.736532e-04,1.000000e+00
297,1.653439e-04,1.000000e+00
298,3.998600e-05,1.000000e+00
299,6.944444e-05,1.000000e+00
300,1.166690e-04,1.000000e+00
301,3.567223e-04,1.000000e+00
302,7.041442e-05,1.000000e+00
303,5.448114e-04,1.000000e+00
304,2.029990e-05,1.000000e+00
305,3.752083e-04,1.000000e+00
306,3.793631e-04,1.000000e+00
307,3.822059e-04,1.000000e+00
308,1.417234e-04,1.000000e+00
309,1.256567e-04,1.000000e+00
310,6.944444e-05,1.000000e+00
311,1.028893e-03,1.000000e+00
312,6.944444e-05,1.000000e+00
313,2.020870e-04,1.000000e+00
314,3.334444e-04,1.000000e+00
315,4.615128e-04,1.000000e+00
316,3.192586e-04,1.000000e+00
317,3.728910e-04,1.000000e+00
318,3.192586e-04,1.000000e+00
319,1.786484e-04,1.000000e+00
320,7.233796e-05,1.000000e+00
321,6.944444e-05,1.000000e+00
322,3.804287e-04,1.000000e+00
323,1.157407e-04,1.000000e+00
324,7.233796e-05,1.000000e+00
