dataset,min_pval_exp,min_pval_theta
421,1.164923e-03,1.164923e-03
422,3.964290e-04,3.964290e-04
423,3.401361e-03,3.401361e-03
424,3.868778e-03,3.868778e-03
425,6.279435e-04,6.279435e-04
426,5.178353e-04,5.178353e-04
427,3.964290e-04,3.964290e-04
428,2.409898e-04,2.409898e-04
429,2.470039e-03,2.470039e-03
430,9.854558e-04,9.854558e-04
431,2.469136e-03,2.469136e-03
432,6.038313e-04,6.038313e-04
433,9.259259e-04,9.259259e-04
434,1.260504e-03,1.260504e-03
435,8.073370e-04,8.073370e-04
436,5.528846e-03,5.528846e-03
437,9.620010e-05,9.620010e-05
438,5.309585e-04,5.309585e-04
439,4.978355e-04,4.978355e-04
440,1.851852e-03,1.851852e-03
441,9.343434e-03,9.343434e-03
442,2.886003e-04,2.886003e-04
443,1.111111e-03,1.111111e-03
444,7.215007e-04,7.215007e-04
445,9.663446e-04,9.663446e-04
446,5.584693e-03,9.932981e-03
447,2.973368e-03,2.973368e-03
448,5.309585e-04,5.309585e-04
449,1.875000e-03,1.875000e-03
450,1.924139e-03,1.924139e-03
451,9.586373e-05,9.586373e-05
452,5.767308e-04,5.767308e-04
453,6.802721e-04,6.802721e-04
454,4.242424e-03,4.242424e-03
455,5.883265e-04,5.883265e-04
456,5.097886e-03,5.097886e-03
457,8.715044e-04,8.715044e-04
458,7.899465e-04,7.899465e-04
459,5.523577e-04,5.523577e-04
460,3.306590e-03,3.306590e-03
461,5.639146e-04,5.639146e-04
462,2.345982e-03,2.345982e-03
463,5.232862e-04,5.232862e-04
464,5.141143e-04,5.141143e-04
465,5.924042e-04,5.924042e-04
466,9.324009e-04,9.324009e-04
467,8.884293e-04,8.884293e-04
468,1.807851e-03,1.807851e-03
469,2.399799e-03,2.398587e-03
470,4.228028e-04,4.228028e-04
471,1.171687e-03,1.171687e-03
472,7.797401e-03,7.797401e-03
473,4.028960e-04,4.028960e-04
474,9.143636e-05,9.143636e-05
475,1.498501e-03,1.498501e-03
476,8.738817e-03,8.738817e-03
477,1.042413e-03,3.030303e-03
478,5.550006e-04,5.550006e-04
479,1.734749e-03,1.734749e-03
480,5.097886e-03,5.097886e-03
481,3.331071e-03,3.331071e-03
482,2.254690e-04,2.254690e-04
483,3.030303e-03,3.030303e-03
484,4.978355e-04,4.978355e-04
485,5.848866e-04,5.848866e-04
486,2.594628e-03,2.594628e-03
487,5.651352e-04,5.651352e-04
488,7.689744e-04,7.689744e-04
489,6.997667e-03,6.997667e-03
490,1.308216e-03,1.308216e-03
491,2.466422e-03,2.466422e-03
492,2.522478e-03,2.522478e-03
493,3.486017e-03,3.486017e-03
494,2.896470e-03,2.896470e-03
495,1.019535e-03,1.019535e-03
496,5.359519e-04,5.359519e-04
497,1.495726e-03,1.495726e-03
498,3.154586e-03,3.154586e-03
499,4.918995e-04,4.918995e-04
500,7.668912e-04,7.668912e-04
501,3.296970e-03,3.296970e-03
502,3.030303e-03,3.030303e-03
503,6.347091e-04,6.347091e-04
504,6.115178e-04,6.115178e-04
505,1.343366e-03,1.343366e-03
506,5.426763e-04,5.426763e-04
507,5.790441e-04,5.790441e-04
508,2.742819e-03,2.742819e-03
509,2.975912e-03,2.975912e-03
510,2.705628e-04,2.705628e-04
511,1.308216e-03,1.308216e-03
512,8.971369e-04,8.971369e-04
513,4.395604e-03,4.395604e-03
514,5.429426e-04,5.429426e-04
515,5.178353e-04,5.178353e-04
516,3.636364e-03,3.636364e-03
517,8.819172e-03,8.819172e-03
518,9.688228e-04,9.688228e-04
519,3.488575e-04,3.488575e-04
520,1.082251e-03,1.082251e-03
521,2.975912e-03,2.975912e-03
522,6.115178e-04,6.115178e-04
523,4.101807e-03,4.101807e-03
524,6.889055e-04,6.889055e-04
525,2.906235e-03,2.906235e-03
526,2.331002e-03,2.331002e-03
527,9.564510e-04,9.564510e-04
528,9.386797e-04,9.386797e-04
529,4.265756e-03,4.629630e-03
530,5.593707e-03,5.593707e-03
531,7.120153e-04,7.120153e-04
532,5.755657e-04,5.755657e-04
533,2.691768e-03,2.691768e-03
534,7.048932e-04,7.048932e-04
535,2.231102e-03,2.231102e-03
536,4.636781e-03,4.636781e-03
537,1.271456e-05,1.271456e-05
538,4.723700e-04,4.723700e-04
539,3.024633e-03,3.024633e-03
540,2.497502e-04,2.497502e-04
541,5.988680e-04,5.988680e-04
542,8.333333e-03,8.333333e-03
543,1.956907e-03,1.956907e-03
544,9.564510e-04,9.564510e-04
545,4.629630e-03,4.629630e-03
546,2.522478e-03,2.522478e-03
547,3.270539e-04,3.270539e-04
548,5.767308e-04,5.767308e-04
549,7.933863e-04,7.933863e-04
550,7.660329e-03,7.660329e-03
551,7.172315e-04,7.172315e-04
552,2.054473e-03,2.054473e-03
553,4.591837e-03,5.952381e-03
554,6.233766e-03,6.233766e-03
555,4.120879e-04,4.120879e-04
556,1.344329e-03,1.344329e-03
557,1.311189e-03,1.311189e-03
558,6.227106e-03,6.227106e-03
