rank,pvalue,fdr_theta
1,5.003879e-06,0.000500
2,2.452104e-05,0.000500
3,4.999753e-05,0.001167
4,5.427954e-05,0.001000
5,5.477051e-05,0.000800
6,5.693130e-05,0.000833
7,7.119736e-05,0.001357
8,8.017695e-05,0.001250
9,8.943886e-05,0.001389
10,1.161208e-04,0.002250
11,1.199998e-04,0.002136
12,1.258357e-04,0.002000
13,1.531676e-04,0.003077
14,1.581229e-04,0.002929
15,1.584073e-04,0.002733
16,1.586970e-04,0.002563
17,1.751548e-04,0.002647
18,1.890096e-04,0.002806
19,2.247384e-04,0.003237
20,2.296864e-04,0.003125
21,2.441406e-04,0.003214
22,2.827555e-04,0.003591
23,2.893811e-04,0.003587
24,2.906847e-04,0.003438
25,3.146166e-04,0.003580
26,3.148946e-04,0.003481
27,3.157595e-04,0.003352
28,3.393179e-04,0.003554
29,3.471039e-04,0.003586
30,3.765342e-04,0.003750
31,4.411723e-04,0.004581
32,5.599742e-04,0.005328
33,7.681231e-04,0.007485
34,8.754750e-04,0.008324
35,1.117438e-03,0.011657
36,1.257451e-03,0.012750
37,1.278717e-03,0.012527
38,1.299739e-03,0.012434
39,1.326751e-03,0.012372
40,1.338697e-03,0.012163
41,1.394400e-03,0.012293
42,1.416703e-03,0.012369
43,1.440543e-03,0.012314
44,1.514249e-03,0.012659
45,1.666686e-03,0.013122
46,1.768769e-03,0.013609
47,1.812995e-03,0.013638
48,1.918871e-03,0.014135
49,2.094949e-03,0.015082
50,2.260813e-03,0.016550
51,2.265881e-03,0.016245
52,2.459100e-03,0.017769
53,2.624088e-03,0.018340
54,2.653622e-03,0.018148
55,2.821719e-03,0.018736
56,3.446466e-03,0.022179
57,3.484942e-03,0.021991
58,3.764820e-03,0.024147
59,3.820149e-03,0.024195
60,3.883066e-03,0.024892
61,3.936429e-03,0.024934
62,4.250699e-03,0.027347
63,4.634713e-03,0.029937
64,4.699770e-03,0.030008
65,4.991625e-03,0.031215
66,5.089691e-03,0.031598
67,5.701875e-03,0.034164
68,6.084394e-03,0.037088
69,6.328993e-03,0.038688
70,6.495295e-03,0.039136
71,6.529888e-03,0.039134
72,6.634580e-03,0.040111
73,6.728634e-03,0.040349
74,6.783152e-03,0.040291
75,6.848549e-03,0.040507
