resample,min_pval_exp,min_pval_theta
0,2.354570e-03,4.723613e-03
1,3.206384e-03,7.663309e-03
2,3.045934e-03,3.335350e-03
3,5.313431e-04,8.981775e-04
4,4.910714e-03,6.250000e-03
5,4.740676e-04,3.383990e-03
6,1.576237e-03,3.536112e-03
7,6.117082e-04,1.299739e-03
8,4.664656e-04,7.552994e-04
9,4.362712e-04,5.449836e-04
10,2.455566e-03,2.449664e-03
11,5.480865e-03,1.311829e-02
12,1.868372e-03,5.030125e-03
13,2.019898e-03,1.088484e-03
14,1.923716e-03,2.269784e-03
15,3.596392e-04,3.818508e-04
16,4.474104e-04,6.082311e-04
17,1.867078e-03,5.054330e-03
18,1.714678e-05,2.612842e-05
19,2.606515e-04,1.039813e-03
20,3.826684e-03,3.957740e-03
21,1.152225e-04,2.124772e-04
22,6.138634e-04,8.302638e-04
23,1.774485e-04,9.735200e-04
24,2.022323e-03,9.759698e-04
25,1.071099e-03,1.721594e-03
26,1.641771e-03,4.126984e-03
27,1.585622e-04,4.399782e-04
28,8.514439e-05,1.177287e-03
29,9.332913e-04,1.037188e-03
30,3.117651e-04,3.200426e-04
31,3.495337e-04,2.086054e-03
32,1.508841e-03,5.864711e-03
33,5.573479e-03,6.980298e-03
34,1.225460e-03,2.684622e-03
35,1.795373e-03,2.409975e-03
36,5.536572e-03,5.375077e-03
37,4.750020e-04,6.788241e-04
38,7.361741e-05,1.433989e-04
39,2.187694e-03,3.677813e-03
40,7.498605e-03,7.147231e-03
41,1.203745e-03,2.004281e-03
42,4.359424e-03,3.827363e-03
43,4.273672e-04,6.359280e-04
44,4.141856e-03,4.409951e-03
45,1.306648e-03,4.263444e-03
46,2.038103e-03,4.058844e-03
47,1.218271e-03,1.964547e-03
48,3.007444e-03,3.156551e-03
49,1.318342e-03,1.394400e-03
50,1.910418e-04,5.646747e-04
51,1.096781e-03,3.009259e-03
52,8.233138e-04,9.649186e-04
53,8.077957e-04,9.865268e-04
54,1.840973e-04,3.082085e-04
55,1.524097e-03,3.978767e-03
56,2.306415e-04,3.413547e-04
57,2.608706e-03,4.608792e-03
58,1.201640e-03,1.569681e-03
59,1.035956e-03,7.756516e-03
60,2.372250e-03,2.639870e-03
61,3.475939e-03,6.711191e-04
62,6.546875e-03,1.091317e-02
63,1.260394e-03,2.942326e-03
64,2.029303e-03,3.275174e-03
65,2.177358e-03,2.681380e-03
66,9.852018e-04,1.032416e-03
67,2.881035e-03,2.379702e-03
68,5.980735e-04,1.400918e-03
69,5.198886e-04,1.090965e-03
70,1.777816e-03,3.743990e-03
71,1.916114e-03,8.659771e-04
72,1.275926e-04,1.913301e-04
73,4.854326e-04,9.539412e-04
74,2.737625e-03,8.362826e-03
75,1.313750e-03,4.541326e-03
76,8.395202e-04,7.657350e-04
77,2.862758e-04,7.243967e-04
78,8.578048e-04,9.578561e-04
79,1.543174e-03,2.217712e-03
80,1.034513e-03,9.543030e-04
81,5.803182e-03,9.699515e-03
82,5.661313e-04,6.439824e-04
83,1.709895e-03,9.984970e-04
84,3.267396e-04,5.044921e-04
85,1.554388e-04,3.199869e-04
86,1.958389e-03,3.509671e-03
87,9.162418e-04,1.112507e-03
88,2.956814e-03,3.255208e-03
89,1.190532e-03,1.461551e-03
90,1.828258e-03,3.831331e-03
91,6.025928e-04,1.122102e-03
92,3.815024e-03,3.992453e-03
93,1.056366e-03,1.583779e-03
94,6.644376e-04,6.644376e-04
95,1.386804e-04,1.950851e-04
96,2.200878e-04,7.500996e-04
97,5.753941e-03,5.906314e-03
98,4.910714e-03,3.882451e-03
99,3.604801e-03,5.838993e-03
100,1.047979e-03,3.661926e-03
101,1.261525e-03,2.536396e-03
102,1.481779e-03,4.070800e-03
103,3.754544e-03,3.038049e-03
104,6.887796e-04,1.164602e-03
105,2.953019e-03,9.749011e-04
106,5.867891e-04,6.191129e-04
107,4.335460e-04,3.564474e-03
108,1.086495e-03,2.277931e-03
109,3.313920e-04,1.467708e-03
110,1.295835e-03,2.611694e-03
111,4.486343e-03,1.339138e-03
112,1.991397e-03,1.906656e-03
113,1.373502e-03,2.445312e-03
114,1.213601e-03,2.087046e-03
115,2.515963e-03,4.330419e-03
116,2.025593e-03,3.161561e-03
117,1.132443e-03,5.017402e-04
118,2.043266e-03,4.024211e-03
119,4.146829e-04,7.933451e-04
120,1.344371e-03,1.103146e-03
121,7.911181e-04,4.341220e-03
122,5.419251e-03,7.031505e-03
123,6.284936e-04,8.643216e-04
124,3.480413e-03,5.747888e-03
125,2.480159e-03,2.074545e-03
126,5.449722e-03,3.683637e-03
127,1.324412e-03,1.584955e-03
128,1.191535e-03,3.150182e-03
129,1.160930e-03,1.964547e-03
130,3.407279e-03,4.166667e-03
131,5.332341e-04,1.134582e-03
132,3.643056e-03,6.686794e-03
133,2.343750e-03,5.045573e-03
134,3.916011e-03,5.417806e-04
135,1.453520e-03,1.757812e-03
136,7.307410e-04,9.096677e-04
137,2.787524e-04,1.083606e-03
138,8.518474e-04,4.025379e-04
139,1.526482e-03,3.824251e-04
140,9.490482e-04,6.644376e-04
141,6.063940e-04,8.204826e-04
142,1.856269e-03,2.341369e-03
143,2.511353e-03,3.800739e-03
144,1.098992e-03,1.424255e-03
145,3.304155e-03,4.217029e-03
146,1.899937e-03,7.812500e-03
147,7.557587e-04,2.511406e-03
148,9.688679e-04,9.927187e-04
149,1.045716e-03,9.851165e-04
150,8.883139e-04,9.222280e-04
151,8.775794e-04,1.465630e-03
152,2.174247e-03,2.256504e-03
153,5.579683e-04,7.542169e-04
154,9.629197e-04,1.502625e-04
155,3.627445e-04,8.197982e-04
156,2.598862e-03,3.161561e-03
157,5.252086e-04,1.421200e-03
158,3.214963e-05,3.736431e-05
159,3.675715e-03,2.210206e-03
160,1.373766e-03,1.656519e-03
161,3.907474e-03,6.510417e-03
162,3.244732e-03,1.092019e-03
163,1.017425e-03,9.844616e-04
164,3.068211e-03,2.147557e-03
165,1.110347e-03,2.409975e-03
166,2.933008e-03,2.024828e-03
167,1.745536e-03,2.707591e-03
168,2.253521e-03,3.179126e-03
169,1.880787e-03,6.510417e-03
