rank,pvalue,fdr_exp
213,6.860389e-02,0.179634
214,6.907855e-02,0.180731
215,6.984314e-02,0.181100
216,7.120294e-02,0.183039
217,7.413762e-02,0.188136
218,7.525556e-02,0.190826
219,7.544741e-02,0.191468
220,7.583365e-02,0.191705
221,7.752634e-02,0.192776
222,7.812500e-02,0.193358
223,7.893345e-02,0.193383
224,8.083333e-02,0.194480
225,8.136161e-02,0.196142
226,8.307219e-02,0.198540
227,8.324364e-02,0.198192
228,8.472415e-02,0.201820
229,8.564645e-02,0.202175
230,8.705357e-02,0.205178
231,8.753179e-02,0.204688
232,8.791667e-02,0.206597
233,8.837500e-02,0.206682
234,8.897569e-02,0.207109
235,9.146003e-02,0.212764
236,9.220467e-02,0.213153
237,9.226707e-02,0.213352
238,9.244760e-02,0.212962
239,9.508873e-02,0.213759
240,9.553571e-02,0.214104
241,9.594298e-02,0.213915
242,9.846866e-02,0.217917
243,9.889849e-02,0.218510
244,9.921590e-02,0.219275
245,1.014609e-01,0.221753
246,1.057528e-01,0.228323
247,1.071875e-01,0.228727
248,1.093750e-01,0.233946
249,1.103147e-01,0.234287
250,1.119017e-01,0.236114
251,1.125705e-01,0.237293
252,1.156250e-01,0.240937
253,1.161932e-01,0.241425
254,1.170158e-01,0.242524
255,1.195436e-01,0.246651
256,1.195674e-01,0.246416
257,1.323342e-01,0.261959
258,1.392504e-01,0.268320
259,1.404219e-01,0.268469
260,1.419073e-01,0.268542
261,1.419271e-01,0.268406
262,1.443751e-01,0.274548
263,1.476971e-01,0.282800
264,1.524260e-01,0.287265
265,1.527778e-01,0.289364
266,1.540377e-01,0.290062
267,1.569444e-01,0.293826
268,1.582193e-01,0.293200
269,1.617187e-01,0.296572
270,1.641927e-01,0.301037
271,1.650248e-01,0.300910
272,1.650789e-01,0.300761
273,1.655575e-01,0.301430
274,1.659483e-01,0.301290
275,1.806579e-01,0.326809
276,1.878255e-01,0.338286
277,1.889060e-01,0.342116
278,1.953348e-01,0.350888
279,1.988360e-01,0.355439
280,2.037760e-01,0.362802
281,2.086404e-01,0.370324
282,2.201761e-01,0.382688
283,2.265625e-01,0.389343
284,2.298678e-01,0.395755
285,2.306001e-01,0.395474
286,2.319485e-01,0.394939
287,2.391231e-01,0.401275
288,2.399414e-01,0.400813
289,2.433625e-01,0.403569
290,2.527488e-01,0.409043
291,2.539062e-01,0.408809
292,2.601231e-01,0.415454
293,2.676080e-01,0.424703
294,2.689681e-01,0.425303
295,2.692207e-01,0.424875
296,2.746908e-01,0.428265
297,2.830078e-01,0.437914
298,2.866830e-01,0.442248
299,2.906789e-01,0.448826
300,2.912262e-01,0.449248
301,2.950401e-01,0.450449
302,3.014205e-01,0.461570
303,3.085937e-01,0.468782
304,3.134662e-01,0.474951
305,3.142374e-01,0.478169
306,3.168305e-01,0.484642
307,3.182091e-01,0.484415
308,3.222288e-01,0.488877
309,3.296756e-01,0.489265
310,3.337293e-01,0.491734
311,3.404948e-01,0.497447
312,3.430046e-01,0.499816
313,3.460115e-01,0.505930
314,3.521819e-01,0.511543
315,3.587913e-01,0.513897
316,3.632812e-01,0.525123
317,3.632812e-01,0.525123
318,3.900346e-01,0.548921
319,3.965158e-01,0.552237
320,4.053212e-01,0.555306
321,4.338756e-01,0.583576
322,4.338756e-01,0.583576
323,4.345398e-01,0.582839
324,4.498698e-01,0.595728
325,4.941205e-01,0.631863
326,5.051054e-01,0.644394
327,5.091834e-01,0.647412
328,5.091834e-01,0.647412
329,5.221236e-01,0.650144
330,5.221236e-01,0.650144
331,5.290658e-01,0.658998
332,5.387676e-01,0.665959
333,5.387676e-01,0.665959
334,5.399639e-01,0.666449
335,5.510491e-01,0.672757
336,5.691167e-01,0.683710
337,5.691775e-01,0.682978
338,5.798087e-01,0.691591
339,5.798087e-01,0.691591
340,5.845835e-01,0.689809
341,5.845835e-01,0.689809
342,6.215765e-01,0.715155
343,6.260715e-01,0.717701
344,6.350567e-01,0.724635
345,6.781104e-01,0.747796
346,6.962934e-01,0.756558
347,6.967586e-01,0.755385
348,7.014337e-01,0.758019
349,7.030000e-01,0.759771
350,7.160679e-01,0.762849
351,7.221983e-01,0.766679
352,7.549921e-01,0.787482
353,7.549921e-01,0.787482
354,7.621346e-01,0.792302
355,7.654259e-01,0.791996
356,7.677800e-01,0.791900
357,7.701224e-01,0.793340
358,7.744716e-01,0.794806
359,8.013804e-01,0.809550
360,8.258036e-01,0.817937
361,8.385247e-01,0.823496
362,8.802812e-01,0.843417
363,8.940052e-01,0.852172
364,9.081857e-01,0.855771
365,9.127447e-01,0.855290
366,9.130622e-01,0.853352
367,9.191340e-01,0.851332
368,9.304118e-01,0.853830
369,9.341837e-01,0.855626
370,9.405748e-01,0.855965
371,9.546362e-01,0.859509
372,9.613885e-01,0.860559
373,9.694610e-01,0.860877
374,9.797660e-01,0.864016
375,9.816891e-01,0.862396
376,9.832268e-01,0.860398
377,9.845281e-01,0.858658
378,9.851581e-01,0.856931
379,9.863845e-01,0.855096
380,9.865073e-01,0.852926
381,9.894748e-01,0.851567
382,9.915778e-01,0.850478
383,9.935704e-01,0.848975
384,9.936689e-01,0.846837
385,9.937520e-01,0.844790
386,9.992487e-01,0.844058
387,9.994624e-01,0.841937
388,9.997989e-01,0.839844
389,9.999505e-01,0.837715
390,9.999978e-01,0.835574
391,1.000000e+00,0.833437
