pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
STK11_N-?-TP53_M,2,1,5.000000,5,,3.394550e-01
KEAP1_M-?-KMT2D_M,2,1,4.000000,4,,6.192534e-01
KEAP1_M-?-KMT2D_M KEAP1_M-?-TP53_M KMT2D_M-?-TP53_M,3,3,2.000000,2,,7.123869e-01
KEAP1_M-?-KMT2D_M KEAP1_M-?-TP53_N KMT2D_M-?-TP53_N,3,3,3.000000,3,,7.575758e-02
TP53_M->-CHD4_M,2,1,7.000000,7,,1.275170e-03
CDKN2A_M-?-KMT2D_N,2,1,4.000000,4,,3.425926e-01
KEAP1_N-?-TP53_M,2,1,6.000000,6,,4.516541e-01
PIK3CA_M-?-ZFP36L1_N,2,1,2.000000,2,,1.098901e-01
DICER1_M-?-TP53_M,2,1,3.000000,3,,3.301587e-01
EP300_M-?-TP53_M,2,1,4.000000,4,,8.308065e-01
BRCA1_M-?-KEAP1_M,2,1,3.000000,3,,1.300905e-01
PTEN_M-?-TP53_M,2,1,4.000000,4,,2.096883e-01
RNF43_M-?-TP53_M,2,1,3.000000,3,,1.510989e-01
FANCM_M-?-RB1_N FANCM_M-?-TP53_M RB1_N-?-TP53_M,3,3,2.000000,2,,1.818182e-02
CBLB_M-?-TP53_N,2,1,4.000000,4,,8.310023e-02
KRAS_M->-TP53_M,2,1,7.000000,7,,5.040725e-01
KRAS_M-?-MTOR_M,2,1,2.000000,2,,7.612533e-01
KMT2D_M-?-MTOR_M,2,1,3.000000,3,,2.162184e-01
PATZ1_M-?-PTEN_N,2,1,2.000000,2,,2.837943e-02
MGA_N-?-SEPT12_M,2,1,2.000000,2,,9.312169e-02
KMT2C_N-?-TP53_M,2,1,4.000000,4,,2.515152e-01
CBLB_M-?-TP53_M,2,1,3.000000,3,,2.101852e-01
EXT2_M-?-TP53_M,2,1,3.000000,3,,1.084249e-01
FANCD2_M-?-TP53_M,2,1,2.000000,2,,1.451247e-01
KEAP1_M-?-MGA_N,2,1,3.000000,3,,2.109890e-01
KEAP1_M-?-MGA_N KEAP1_M-?-TP53_M MGA_N-?-TP53_M,3,3,2.000000,2,,9.636517e-02
DOT1L_M-?-TP53_M,2,1,5.000000,5,,2.116402e-01
COL2A1_M-?-TP53_M,2,1,5.000000,5,,1.156463e-01
KMT2D_M-?-KRAS_M,2,1,5.000000,5,,3.600567e-01
KMT2D_M-?-KRAS_M KMT2D_M-?-TP53_M KRAS_M-?-TP53_M,3,3,2.000000,2,,7.692308e-01
TP53_M->-FAT1_M,2,1,6.000000,6,,3.822369e-02
NFE2L2_M-?-TP53_N,2,1,4.000000,4,,1.493827e-01
CDKN2A_M-?-NFE2L2_M CDKN2A_M-?-TP53_N NFE2L2_M-?-TP53_N,3,3,2.000000,2,,1.944444e-01
ASXL2_M-?-TP53_M,2,1,4.000000,4,,9.051405e-01
SETD2_M-?-TP53_M,2,1,4.000000,4,,7.407407e-01
NF1_N-?-TP53_M,2,1,6.000000,6,,7.765926e-01
CBL_M-?-TP53_M,2,1,3.000000,3,,7.777778e-02
PTEN_N-?-SMAD4_M,2,1,2.000000,2,,1.388889e-01
FANCG_M->-UBR5_M FANCG_M-?-TP53_M TP53_M->-UBR5_M,3,3,2.000000,2,,9.343434e-03
NF1_M-?-TP53_N,2,1,4.000000,4,,1.150000e-01
KRAS_M-?-SETD2_N,2,1,5.000000,5,,2.836364e-01
ATM_M-?-PTPRB_M,2,1,2.000000,2,,1.043218e-01
KRAS_M-?-PLCG2_M,2,1,2.000000,2,,4.029304e-02
PTPRC_M-?-TP53_M,2,1,4.000000,4,,5.060612e-01
KMT2D_N-?-TP53_N,2,1,3.000000,3,,2.262626e-01
CDKN2A_M-?-KMT2D_N CDKN2A_M-?-TP53_N KMT2D_N-?-TP53_N,3,3,2.000000,2,,8.080808e-02
ARID2_M-?-PIK3CA_M,2,1,2.000000,2,,1.947846e-01
CREBBP_M-?-KRAS_M,2,1,3.000000,3,,4.447082e-01
CREBBP_M-?-KRAS_M CREBBP_M-?-TP53_M KRAS_M-?-TP53_M,3,3,2.000000,2,,1.519814e-01
BCLAF1_M-?-SMARCA4_N,2,1,2.000000,2,,2.375758e-01
MGA_M-?-TP53_N,2,1,2.000000,2,,1.263736e-01
CDK12_M-?-SMARCA4_M,2,1,2.000000,2,,8.263180e-02
CIC_M-?-NCOR1_M,2,1,2.000000,2,,2.009587e-02
CREBBP_M-?-KMT2C_M,2,1,2.000000,2,,8.379258e-02
MGA_M-?-TP53_M,2,1,3.000000,3,,4.116512e-01
PLXNB2_M-?-TP53_N,2,1,2.000000,2,,3.985348e-01
ARHGAP35_N-?-TP53_M,2,1,5.000000,5,,2.839506e-01
ARID2_N-?-KEAP1_M,2,1,3.000000,3,,4.238961e-01
