trajectory,pattern,n_genes,is_total_order,s_exp,n_patients,pval,wy_threshold,mined_by_multimastro,seeds_hit,seeds_hit_ids,mined_in_seeds,mined_in_seeds_ids
CBFB < GATA3,CBFB->-GATA3,2,yes,21.000000,21,1.091260e-04,2.134337e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
TP53 < ATM,TP53->-ATM,2,yes,11.000000,11,1.638004e-04,2.134337e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
TP53 < APC,TP53->-APC,2,yes,12.000000,12,1.799720e-04,2.134337e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
PIK3CA < TP53 < POLE,PIK3CA->-POLE PIK3CA->-TP53 TP53->-POLE,3,yes,5.000000,5,1.971570e-04,2.134337e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
CBFB < MAP3K1 < PIK3CA,CBFB->-MAP3K1 CBFB->-PIK3CA MAP3K1->-PIK3CA,3,yes,6.000000,6,2.061855e-04,2.134337e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2A,TP53->-KMT2A,2,yes,13.000000,13,6.440782e-05,2.134337e-04,yes,4,3;4;7;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < BARD1,TP53->-BARD1,2,yes,10.000000,10,7.966427e-05,2.134337e-04,yes,5,2;3;6;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < MAP3K1,TP53->-MAP3K1,2,yes,23.903146,25,1.057801e-04,2.134337e-04,yes,6,0;1;3;5;7;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < NOTCH4,TP53->-NOTCH4,2,yes,10.697674,11,1.219151e-04,2.134337e-04,yes,6,1;2;3;5;6;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < FAT1,TP53->-FAT1,2,yes,18.000000,18,6.076730e-05,2.134337e-04,yes,7,0;2;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTPRD,TP53->-PTPRD,2,yes,13.903458,15,1.457512e-04,2.134337e-04,yes,8,1;2;3;4;5;6;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < FLT4,TP53->-FLT4,2,yes,12.000000,12,5.327364e-05,2.134337e-04,yes,9,0;1;2;3;4;5;6;7;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTPRS,TP53->-PTPRS,2,yes,10.665753,11,1.033851e-04,2.134337e-04,yes,9,0;1;2;3;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
CBFB < PIK3CA,CBFB->-PIK3CA,2,yes,32.500000,33,4.937239e-06,2.134337e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
PIK3CA < SF3B1,PIK3CA->-SF3B1,2,yes,19.000000,19,5.274430e-06,2.134337e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
AKT1 < TP53,AKT1->-TP53,2,yes,19.000000,19,6.426710e-06,2.134337e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
CDH1 < PIK3CA,CDH1->-PIK3CA,2,yes,100.000000,101,4.999750e-05,2.134337e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2D,TP53->-KMT2D,2,yes,24.000000,24,5.030006e-05,2.134337e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < ARID2,TP53->-ARID2,2,yes,15.000000,15,5.070335e-05,2.134337e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2C,TP53->-KMT2C,2,yes,29.400000,30,5.365478e-05,2.134337e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTEN,TP53->-PTEN,2,yes,38.000000,38,5.390463e-05,2.134337e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < ERBB3,TP53->-ERBB3,2,yes,11.000000,11,5.832867e-05,2.134337e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
