resample,min_pval_exp,min_pval_theta
0,1.934150e-03,1.000000e+00
1,1.142863e-03,1.000000e+00
2,3.827363e-03,1.000000e+00
3,6.924925e-03,1.000000e+00
4,5.723878e-03,1.000000e+00
5,1.661351e-03,1.000000e+00
6,1.190706e-03,1.000000e+00
7,8.852967e-04,1.000000e+00
8,9.179808e-04,1.000000e+00
9,2.436944e-04,1.000000e+00
10,3.059062e-03,1.000000e+00
11,2.975302e-03,1.000000e+00
12,8.390328e-04,1.000000e+00
13,1.359959e-03,1.000000e+00
14,3.121844e-03,1.000000e+00
15,3.183763e-04,1.000000e+00
16,1.142863e-03,1.000000e+00
17,9.821264e-03,1.000000e+00
18,2.143347e-05,1.000000e+00
19,3.750000e-03,1.000000e+00
20,3.534226e-03,1.000000e+00
21,2.896297e-04,1.000000e+00
22,6.828502e-04,1.000000e+00
23,3.654342e-04,1.000000e+00
24,5.723878e-03,1.000000e+00
25,1.548328e-03,1.000000e+00
26,3.534226e-03,1.000000e+00
27,4.101562e-04,1.000000e+00
28,6.028164e-05,1.000000e+00
29,7.212041e-04,1.000000e+00
30,4.454430e-04,1.000000e+00
31,3.009259e-03,1.000000e+00
32,2.499601e-03,1.000000e+00
33,2.960498e-05,1.000000e+00
34,3.139952e-03,1.000000e+00
35,2.397960e-03,1.000000e+00
36,1.146179e-03,1.000000e+00
37,5.980079e-04,1.000000e+00
38,5.598948e-04,1.000000e+00
39,1.094934e-03,1.000000e+00
40,4.323507e-04,1.000000e+00
41,1.253858e-03,1.000000e+00
42,3.827363e-03,1.000000e+00
43,3.153502e-04,1.000000e+00
44,3.386647e-03,1.000000e+00
45,2.771772e-03,1.000000e+00
46,2.611865e-03,1.000000e+00
47,1.932457e-03,1.000000e+00
48,9.221439e-03,1.000000e+00
49,3.667111e-03,1.000000e+00
50,3.569461e-04,1.000000e+00
51,2.650961e-03,1.000000e+00
52,7.255589e-04,1.000000e+00
53,2.287498e-03,1.000000e+00
54,2.566528e-04,1.000000e+00
55,2.611865e-03,1.000000e+00
56,5.462860e-04,1.000000e+00
57,9.097220e-04,1.000000e+00
58,1.313116e-03,1.000000e+00
59,8.707483e-04,1.000000e+00
60,4.376444e-03,1.000000e+00
61,4.832092e-04,1.000000e+00
62,9.002133e-03,1.000000e+00
63,5.023644e-03,1.000000e+00
64,3.140498e-03,1.000000e+00
65,3.104968e-03,1.000000e+00
66,2.909037e-03,1.000000e+00
67,6.159108e-03,1.000000e+00
68,1.152667e-03,1.000000e+00
69,2.665990e-04,1.000000e+00
70,2.302632e-03,1.000000e+00
