test,alpha,m,mean_fwer,std_fwer
exp,0.01,250,0.0107,0.0132
exp,0.05,250,0.0815,0.0124
exp,0.10,250,0.1108,0.0366
theta,0.01,250,0.0148,0.0193
theta,0.05,250,0.0663,0.0220
theta,0.10,250,0.1215,0.0173
