cohort_cap,n_patients,n_trees,method,threads,param,value,total_s,cpu_total_s,cpu_per_wall,status,n_trajectories,pottr_support,pottr_patients,detail
1,1315,1315,multi-mastro,1,sigma,2.0,62.53,62.522,1.0,ok,2594,,,transnum=0.04@0.99x;lcm=3.028@1.0x;convert=24.894@1.0x;filter=34.564@1.0x
1,1315,1315,multi-mastro,1,sigma,5.0,0.11,0.107,0.97,ok,381,,,transnum=0.038@0.98x;lcm=0.011@0.96x;convert=0.034@0.99x;filter=0.026@0.99x
1,1315,1315,pottr,20,k,20,101.549,346.345,3.41,ok,1,100,100,read_dags=0.201@4.23x;conflict=11.178@5.23x;conflict=11.13@1.0x;ilp=77.948@3.53x;support=0.195@1.0x;convert=0.003;significance_SKIPPED=0.0
1,1315,1315,pottr,20,k,50,126.326,314.773,2.49,ok,1,67,67,read_dags=0.198@4.31x;conflict=13.174@4.69x;conflict=11.238@1.0x;ilp=100.618@2.38x;support=0.199@1.0x;convert=0.004;significance_SKIPPED=0.0
2,1315,1759,multi-mastro,1,sigma,2.0,58.772,58.765,1.0,ok,2492,,,transnum=0.048@0.99x;lcm=3.479@1.0x;convert=20.371@1.0x;filter=34.87@1.0x
2,1315,1759,multi-mastro,1,sigma,5.0,0.122,0.119,0.98,ok,380,,,transnum=0.048@0.98x;lcm=0.005;convert=0.033@0.99x;filter=0.035@0.99x
2,1315,1759,pottr,20,k,20,411.213,1461.222,3.55,ok,1,38,27,read_dags=0.222@4.42x;conflict=22.488@4.71x;conflict=25.091@1.0x;ilp=361.645@3.67x;support=0.302@1.0x;convert=0.009;significance_SKIPPED=0.0
2,1315,1759,pottr,20,k,50,226.83,438.222,1.93,ok,1,131,101,read_dags=0.338@3.32x;conflict=24.035@5.07x;conflict=17.429@1.0x;ilp=183.077@1.62x;support=0.297@1.0x;convert=0.004;significance_SKIPPED=0.0
