rank,pvalue,fdr_theta
213,1.597248e-02,0.271897
214,1.609216e-02,0.272397
215,1.612657e-02,0.271953
216,1.613795e-02,0.270752
217,1.616128e-02,0.269816
218,1.620370e-02,0.275498
219,1.620370e-02,0.275498
220,1.622376e-02,0.274520
221,1.629664e-02,0.273914
222,1.630523e-02,0.273167
223,1.632951e-02,0.271835
224,1.632951e-02,0.271835
225,1.653439e-02,0.274762
226,1.676846e-02,0.276325
227,1.677219e-02,0.275267
228,1.712219e-02,0.277081
229,1.743863e-02,0.279531
230,1.751228e-02,0.279448
231,1.760524e-02,0.279338
232,1.771632e-02,0.279407
233,1.779298e-02,0.279150
234,1.796875e-02,0.280111
235,1.805556e-02,0.281622
236,1.805556e-02,0.281622
237,1.805556e-02,0.281622
238,1.812983e-02,0.281246
239,1.815931e-02,0.280669
240,1.818597e-02,0.279971
241,1.832439e-02,0.280178
242,1.842612e-02,0.280335
243,1.860491e-02,0.281656
244,1.860491e-02,0.281656
245,1.866045e-02,0.281086
246,1.876458e-02,0.280888
247,1.877764e-02,0.280095
248,1.882619e-02,0.280821
249,1.884921e-02,0.281004
250,1.884921e-02,0.281004
251,1.886673e-02,0.280048
252,1.891534e-02,0.279546
253,1.893813e-02,0.278891
254,1.899367e-02,0.278343
255,1.900121e-02,0.277267
256,1.921582e-02,0.278799
257,1.924121e-02,0.277817
258,1.944444e-02,0.280074
259,1.964705e-02,0.281044
260,1.967135e-02,0.280137
261,1.975023e-02,0.279485
262,2.001416e-02,0.280048
263,2.002177e-02,0.279032
264,2.025616e-02,0.278981
265,2.027715e-02,0.278160
266,2.043069e-02,0.277701
267,2.054871e-02,0.277283
268,2.083181e-02,0.277662
269,2.114148e-02,0.279768
270,2.145858e-02,0.281057
271,2.177052e-02,0.282755
272,2.187429e-02,0.282460
273,2.222222e-02,0.285699
274,2.222222e-02,0.285699
275,2.223179e-02,0.284745
276,2.232143e-02,0.285308
277,2.243697e-02,0.286161
278,2.249250e-02,0.285858
279,2.258771e-02,0.285935
280,2.261746e-02,0.285420
281,2.271465e-02,0.285842
282,2.274763e-02,0.285032
283,2.293680e-02,0.287272
284,2.312562e-02,0.288460
285,2.312925e-02,0.287746
286,2.318498e-02,0.287458
287,2.372262e-02,0.293779
288,2.378771e-02,0.293450
289,2.380952e-02,0.295483
290,2.384722e-02,0.295029
291,2.396846e-02,0.295455
292,2.400422e-02,0.294920
293,2.413265e-02,0.296235
294,2.430556e-02,0.298546
295,2.457494e-02,0.300707
296,2.460317e-02,0.300735
297,2.465845e-02,0.300340
298,2.467556e-02,0.299440
299,2.478451e-02,0.299731
300,2.480159e-02,0.300629
301,2.480159e-02,0.300629
302,2.480159e-02,0.300629
303,2.499167e-02,0.302525
304,2.511663e-02,0.304609
305,2.521382e-02,0.304923
306,2.557481e-02,0.308400
307,2.568257e-02,0.308808
308,2.570526e-02,0.307927
309,2.578307e-02,0.309146
310,2.584877e-02,0.309971
311,2.588026e-02,0.309732
312,2.603299e-02,0.310413
313,2.603381e-02,0.309535
314,2.604167e-02,0.309245
315,2.607397e-02,0.309054
316,2.610241e-02,0.309142
317,2.615795e-02,0.309109
318,2.619293e-02,0.308505
319,2.626902e-02,0.308727
320,2.628968e-02,0.308891
321,2.649117e-02,0.310425
322,2.657544e-02,0.311463
323,2.667696e-02,0.311791
324,2.698413e-02,0.319563
325,2.698413e-02,0.319563
326,2.704518e-02,0.322754
327,2.704518e-02,0.322754
328,2.704654e-02,0.322006
