rank,pvalue,fdr_exp
1,2.278837e-11,0.000000
2,1.279239e-06,0.000000
3,4.606947e-06,0.000167
4,6.458747e-06,0.000125
5,9.748671e-06,0.000100
6,1.046317e-05,0.000083
7,1.871819e-05,0.000286
8,2.443928e-05,0.000750
9,3.121868e-05,0.000667
10,3.150720e-05,0.000650
11,4.737127e-05,0.001045
12,4.909179e-05,0.000958
13,5.670439e-05,0.001038
14,7.014232e-05,0.001214
15,7.402515e-05,0.001233
16,7.404996e-05,0.001187
17,7.653459e-05,0.001235
18,1.266771e-04,0.002250
19,1.337323e-04,0.002658
20,1.424886e-04,0.002675
21,1.942898e-04,0.003405
22,2.226718e-04,0.003727
23,2.441406e-04,0.003826
24,2.670253e-04,0.003771
25,3.071442e-04,0.003980
26,3.599233e-04,0.005096
27,3.640781e-04,0.004926
28,4.130363e-04,0.005143
29,4.150968e-04,0.005017
30,4.411723e-04,0.005233
31,5.631607e-04,0.006210
32,6.308942e-04,0.006594
33,6.739912e-04,0.007303
34,7.544068e-04,0.008074
35,8.461217e-04,0.008600
36,9.090471e-04,0.008764
37,9.548611e-04,0.008946
38,1.175986e-03,0.011026
39,1.302083e-03,0.012218
40,1.366701e-03,0.012213
41,1.374149e-03,0.012159
42,1.652797e-03,0.014167
43,1.659014e-03,0.013953
44,1.740452e-03,0.014205
45,1.821168e-03,0.014533
46,2.037037e-03,0.015663
47,2.211806e-03,0.017904
48,2.268998e-03,0.018365
49,2.789297e-03,0.021653
50,2.905803e-03,0.022010
51,2.942258e-03,0.021804
52,3.101720e-03,0.022558
53,3.166839e-03,0.022453
54,3.340561e-03,0.023500
55,3.727481e-03,0.026582
56,3.780244e-03,0.026250
57,3.906250e-03,0.027060
58,3.906250e-03,0.027060
59,4.120287e-03,0.028144
60,4.197531e-03,0.027883
61,4.464988e-03,0.029852
62,4.550439e-03,0.030371
63,4.587818e-03,0.029992
64,4.629630e-03,0.030492
65,4.826649e-03,0.031885
66,4.925782e-03,0.032273
67,5.417941e-03,0.034694
68,5.675353e-03,0.034919
69,5.678105e-03,0.034616
70,5.911494e-03,0.035607
71,5.923084e-03,0.035197
72,5.925260e-03,0.034979
73,6.299312e-03,0.038021
74,6.495048e-03,0.038851
75,6.636056e-03,0.038980
76,6.798801e-03,0.039105
77,6.844996e-03,0.038877
78,7.031250e-03,0.040737
79,7.053571e-03,0.040462
80,7.334184e-03,0.041425
81,7.440476e-03,0.041648
82,7.647681e-03,0.042213
83,7.812500e-03,0.043440
84,7.833333e-03,0.043071
85,7.961659e-03,0.043135
86,8.080808e-03,0.043430
87,8.735046e-03,0.046494
88,8.825093e-03,0.046807
89,8.950062e-03,0.047348
90,9.569587e-03,0.050478
91,9.644153e-03,0.050566
92,9.750000e-03,0.050848
93,1.034630e-02,0.052274
94,1.039497e-02,0.051867
95,1.093750e-02,0.053737
96,1.125000e-02,0.054870
97,1.145869e-02,0.055258
98,1.188937e-02,0.057949
99,1.204902e-02,0.058596
100,1.240880e-02,0.058820
101,1.254261e-02,0.058990
102,1.307165e-02,0.062495
103,1.328045e-02,0.062296
104,1.339286e-02,0.062404
105,1.365904e-02,0.062990
106,1.400543e-02,0.064462
107,1.477273e-02,0.068818
108,1.488676e-02,0.068389
109,1.540179e-02,0.070151
110,1.562500e-02,0.072153
111,1.562500e-02,0.072153
112,1.574498e-02,0.072281
113,1.638876e-02,0.073690
114,1.666667e-02,0.074513
115,1.701931e-02,0.075978
116,1.716942e-02,0.076966
117,1.738007e-02,0.078162
118,1.827311e-02,0.080674
119,1.840123e-02,0.080941
120,1.846591e-02,0.081267
121,1.855684e-02,0.081603
122,1.875000e-02,0.081695
123,1.875000e-02,0.081695
124,1.918836e-02,0.081992
125,1.929563e-02,0.081852
126,1.930240e-02,0.081540
127,1.932870e-02,0.081193
128,1.936482e-02,0.081113
129,2.024402e-02,0.084698
130,2.083333e-02,0.086519
131,2.276002e-02,0.092458
132,2.310606e-02,0.094064
133,2.337550e-02,0.093898
134,2.355769e-02,0.094149
135,2.357456e-02,0.094156
136,2.380952e-02,0.094566
137,2.402865e-02,0.094456
138,2.448343e-02,0.095424
139,2.482310e-02,0.096586
140,2.483442e-02,0.096082
141,2.489698e-02,0.096316
142,2.513021e-02,0.097602
143,2.547722e-02,0.098097
144,2.547722e-02,0.098097
145,2.547722e-02,0.098097
146,2.566964e-02,0.097777
147,2.578875e-02,0.097724
148,2.604167e-02,0.098659
149,2.697507e-02,0.101466
150,2.701749e-02,0.101040
151,2.708333e-02,0.100940
152,2.732766e-02,0.101895
153,2.760417e-02,0.102190
154,2.826511e-02,0.102899
155,2.832031e-02,0.103284
156,2.839052e-02,0.102962
157,2.865349e-02,0.102857
158,2.916667e-02,0.103772
159,2.937500e-02,0.104208
160,3.125000e-02,0.113380
161,3.125000e-02,0.113380
162,3.125000e-02,0.113380
163,3.125000e-02,0.113380
164,3.125000e-02,0.113380
165,3.125000e-02,0.113380
166,3.125000e-02,0.113380
167,3.141246e-02,0.113192
168,3.141605e-02,0.112756
169,3.228948e-02,0.115192
170,3.290895e-02,0.115997
171,3.375000e-02,0.118187
172,3.472222e-02,0.119279
173,3.515625e-02,0.121486
174,3.731723e-02,0.123917
175,3.843750e-02,0.125854
176,3.981481e-02,0.127693
177,4.087319e-02,0.129308
178,4.179209e-02,0.131334
179,4.228926e-02,0.132078
180,4.241071e-02,0.132842
181,4.264578e-02,0.132975
182,4.285163e-02,0.132657
183,4.310151e-02,0.132940
184,4.361850e-02,0.133380
185,4.375000e-02,0.133465
186,4.507212e-02,0.134677
187,4.566653e-02,0.134717
188,4.721451e-02,0.139170
189,4.778371e-02,0.140669
190,4.843750e-02,0.142842
191,4.858841e-02,0.142976
192,4.906250e-02,0.143747
193,4.986680e-02,0.143819
194,5.022694e-02,0.144198
195,5.370476e-02,0.149449
196,5.468750e-02,0.150750
197,5.474950e-02,0.150419
198,5.524933e-02,0.150109
199,5.538651e-02,0.151060
200,5.733135e-02,0.153500
201,6.042124e-02,0.159861
202,6.043199e-02,0.159579
203,6.119792e-02,0.159707
204,6.250000e-02,0.164020
205,6.279630e-02,0.163649
206,6.354167e-02,0.164913
207,6.373981e-02,0.164626
208,6.498217e-02,0.167793
209,6.613916e-02,0.169110
210,6.696655e-02,0.172659
211,6.696655e-02,0.172659
212,6.750948e-02,0.172184
213,6.762467e-02,0.172577
214,6.835152e-02,0.173551
215,6.939129e-02,0.174591
216,6.944444e-02,0.174359
217,6.947266e-02,0.173998
218,6.953147e-02,0.173681
219,6.956845e-02,0.173377
220,6.969883e-02,0.172991
221,6.973380e-02,0.172704
222,7.033303e-02,0.173955
223,7.102933e-02,0.176011
224,7.292668e-02,0.177281
225,7.314789e-02,0.177362
226,7.562500e-02,0.185206
227,7.570007e-02,0.184947
228,7.704970e-02,0.185888
229,7.862992e-02,0.188472
230,7.871188e-02,0.188154
231,8.203125e-02,0.191379
232,8.248899e-02,0.193119
233,8.532984e-02,0.199682
234,8.580755e-02,0.199590
235,9.071691e-02,0.213483
236,9.124793e-02,0.213352
237,9.339547e-02,0.215899
238,9.375000e-02,0.216185
239,9.417968e-02,0.217297
240,9.418403e-02,0.217108
241,9.494304e-02,0.218245
242,9.542411e-02,0.219136
243,9.676136e-02,0.219621
244,9.821429e-02,0.220705
245,1.002338e-01,0.223827
246,1.008594e-01,0.223833
247,1.031250e-01,0.225662
248,1.072443e-01,0.227421
249,1.085165e-01,0.227516
250,1.087565e-01,0.227856
251,1.093750e-01,0.232833
252,1.125689e-01,0.237133
253,1.199219e-01,0.245698
254,1.226562e-01,0.249506
255,1.249915e-01,0.251598
256,1.270887e-01,0.256164
257,1.277388e-01,0.255825
258,1.279030e-01,0.255537
259,1.308888e-01,0.256458
260,1.328156e-01,0.259217
261,1.390625e-01,0.271410
262,1.405101e-01,0.271118
263,1.411133e-01,0.271650
264,1.423850e-01,0.273267
265,1.427224e-01,0.273089
266,1.433998e-01,0.272705
267,1.434911e-01,0.272511
268,1.479167e-01,0.278950
269,1.486623e-01,0.279554
270,1.511777e-01,0.281681
271,1.644023e-01,0.307649
272,1.679688e-01,0.312079
273,1.719231e-01,0.317304
274,1.724837e-01,0.319203
275,1.812500e-01,0.332645
276,1.843577e-01,0.336904
277,1.875000e-01,0.339691
278,1.875000e-01,0.339691
279,1.940104e-01,0.346532
280,1.977125e-01,0.347205
281,1.999866e-01,0.347982
282,2.023437e-01,0.350413
283,2.031250e-01,0.352781
284,2.040799e-01,0.353972
285,2.106243e-01,0.365139
286,2.126432e-01,0.367142
287,2.189801e-01,0.372460
288,2.360554e-01,0.396453
289,2.383923e-01,0.401234
290,2.392111e-01,0.402136
291,2.409669e-01,0.403768
292,2.501432e-01,0.411572
293,2.508681e-01,0.412507
294,2.631536e-01,0.419117
295,2.656250e-01,0.420876
296,2.666955e-01,0.421701
297,2.667766e-01,0.421449
298,2.692207e-01,0.422287
299,2.711914e-01,0.423137
300,2.762956e-01,0.429488
301,2.779821e-01,0.429075
302,2.793409e-01,0.428800
303,2.826576e-01,0.432183
304,2.837967e-01,0.433490
305,2.861538e-01,0.437016
306,2.980921e-01,0.451739
307,3.057143e-01,0.457827
308,3.191612e-01,0.474497
309,3.194596e-01,0.474023
310,3.228952e-01,0.480982
311,3.245153e-01,0.481680
312,3.327408e-01,0.493631
313,3.387790e-01,0.498706
314,3.430046e-01,0.501820
315,3.438602e-01,0.500997
316,3.452524e-01,0.500539
317,3.452524e-01,0.500539
318,3.591158e-01,0.517697
319,3.632812e-01,0.524942
320,3.632812e-01,0.524942
321,3.639338e-01,0.524500
322,3.929468e-01,0.543685
323,4.020521e-01,0.546971
324,4.315589e-01,0.571926
325,4.344132e-01,0.576071
326,4.363527e-01,0.578696
327,4.415654e-01,0.578412
328,4.415654e-01,0.578412
329,4.431000e-01,0.578687
330,4.498698e-01,0.582067
331,4.549905e-01,0.586792
332,4.549905e-01,0.586792
333,4.639171e-01,0.594568
334,5.391598e-01,0.659319
335,5.460820e-01,0.660470
336,5.584591e-01,0.672639
337,5.584591e-01,0.672639
338,5.787082e-01,0.693318
339,5.927584e-01,0.701314
340,5.947153e-01,0.701806
341,5.995780e-01,0.703815
342,6.068209e-01,0.707109
343,6.068209e-01,0.707109
344,6.094249e-01,0.706594
345,6.129143e-01,0.709320
346,6.407929e-01,0.722973
347,6.703179e-01,0.741228
348,7.013697e-01,0.757168
349,7.114427e-01,0.763785
350,7.135735e-01,0.763251
351,7.136765e-01,0.762058
