resample,min_pval_exp,min_pval_theta
0,6.944444e-05,1.000000e+00
1,3.198880e-04,1.000000e+00
2,3.306878e-05,1.000000e+00
3,2.066799e-05,1.000000e+00
4,6.809484e-05,1.000000e+00
5,2.777778e-04,1.000000e+00
6,3.448850e-04,1.000000e+00
7,4.020882e-04,1.000000e+00
8,6.944444e-05,1.000000e+00
9,6.944444e-05,1.000000e+00
10,3.689246e-04,1.000000e+00
11,1.054447e-03,1.000000e+00
12,4.431755e-05,1.000000e+00
13,3.735269e-04,1.000000e+00
14,2.204586e-04,1.000000e+00
15,3.741927e-04,1.000000e+00
16,2.480159e-04,1.000000e+00
17,5.486135e-05,1.000000e+00
18,2.143347e-05,1.000000e+00
19,3.832056e-04,1.000000e+00
20,4.431755e-05,1.000000e+00
21,1.729871e-04,1.000000e+00
22,2.925315e-04,1.000000e+00
23,6.944444e-05,1.000000e+00
24,3.794291e-04,1.000000e+00
25,1.234568e-04,1.000000e+00
26,2.123480e-05,1.000000e+00
27,3.794291e-04,1.000000e+00
28,8.005789e-05,1.000000e+00
29,4.647436e-04,1.000000e+00
30,6.609908e-05,1.000000e+00
31,2.072704e-04,1.000000e+00
32,3.728757e-04,1.000000e+00
33,3.735269e-04,1.000000e+00
34,4.374832e-04,1.000000e+00
35,4.960317e-04,1.000000e+00
36,2.957819e-04,1.000000e+00
37,3.958927e-04,1.000000e+00
38,3.723203e-04,1.000000e+00
39,3.692103e-04,1.000000e+00
40,5.740787e-04,1.000000e+00
41,6.944444e-05,1.000000e+00
42,1.910203e-04,1.000000e+00
43,6.944444e-05,1.000000e+00
44,4.374832e-04,1.000000e+00
45,3.804287e-04,1.000000e+00
46,6.944444e-05,1.000000e+00
47,6.944444e-05,1.000000e+00
48,2.017558e-04,1.000000e+00
49,7.849386e-05,1.000000e+00
50,3.292161e-04,1.000000e+00
51,9.992503e-04,1.000000e+00
52,3.932023e-04,1.000000e+00
53,1.602564e-05,1.000000e+00
54,2.812958e-04,1.000000e+00
