rank,pvalue,fdr_exp
1,2.278837e-11,0.000000
2,1.279239e-06,0.000000
3,4.606947e-06,0.000333
4,6.458747e-06,0.001125
5,9.748671e-06,0.000900
6,1.046317e-05,0.000750
7,1.871819e-05,0.001357
8,2.443928e-05,0.002188
9,3.121868e-05,0.002778
10,3.150720e-05,0.002600
11,4.253360e-05,0.003409
12,4.737127e-05,0.006542
13,4.909179e-05,0.006231
14,5.670439e-05,0.006321
15,7.014232e-05,0.021200
16,7.402515e-05,0.022687
17,7.404996e-05,0.021382
18,7.653459e-05,0.020444
19,1.266771e-04,0.023605
20,1.337323e-04,0.023050
21,1.424886e-04,0.022381
22,1.702606e-04,0.025273
23,1.942898e-04,0.028196
24,2.226718e-04,0.028521
25,2.441406e-04,0.028100
26,2.670253e-04,0.027942
27,2.976190e-04,0.029333
28,3.071442e-04,0.028411
29,3.341109e-04,0.031845
30,3.599233e-04,0.038350
31,3.640781e-04,0.038419
32,4.083083e-04,0.069687
33,4.130363e-04,0.070015
34,4.140842e-04,0.069574
35,4.150968e-04,0.067957
36,4.203043e-04,0.068917
37,4.409171e-04,0.071865
38,4.411723e-04,0.070066
39,4.451849e-04,0.068551
40,5.631607e-04,0.075200
41,6.117859e-04,0.076963
42,6.308942e-04,0.075893
43,6.739912e-04,0.077000
44,7.544068e-04,0.081489
45,8.174414e-04,0.095744
46,8.461217e-04,0.095217
47,8.512170e-04,0.113969
48,8.512170e-04,0.113969
49,9.090471e-04,0.114939
50,9.424603e-04,0.114710
51,9.548611e-04,0.114029
52,1.020806e-03,0.116442
53,1.092863e-03,0.150193
54,1.092863e-03,0.150193
55,1.092863e-03,0.150193
56,1.092863e-03,0.150193
57,1.092863e-03,0.150193
58,1.107156e-03,0.147888
59,1.146299e-03,0.151212
60,1.157407e-03,0.150383
61,1.175986e-03,0.148336
62,1.221708e-03,0.146919
63,1.291435e-03,0.154103
64,1.302083e-03,0.151750
65,1.366701e-03,0.163169
66,1.374149e-03,0.161371
67,1.500722e-03,0.165530
68,1.621642e-03,0.178324
69,1.633598e-03,0.175812
70,1.652797e-03,0.173543
71,1.659014e-03,0.171577
72,1.736111e-03,0.334297
73,1.736111e-03,0.334297
74,1.736111e-03,0.334297
75,1.736111e-03,0.334297
76,1.736111e-03,0.334297
77,1.736111e-03,0.334297
78,1.736111e-03,0.334297
79,1.736111e-03,0.334297
80,1.736111e-03,0.334297
81,1.736111e-03,0.334297
82,1.736111e-03,0.334297
83,1.736111e-03,0.334297
84,1.736111e-03,0.334297
85,1.736111e-03,0.334297
86,1.736111e-03,0.334297
87,1.736111e-03,0.334297
88,1.736111e-03,0.334297
89,1.736111e-03,0.334297
90,1.736111e-03,0.334297
91,1.736111e-03,0.334297
92,1.736111e-03,0.334297
93,1.736111e-03,0.334297
94,1.736111e-03,0.334297
95,1.736111e-03,0.334297
96,1.736111e-03,0.334297
97,1.740452e-03,0.330948
98,1.821168e-03,0.328582
99,1.990741e-03,0.329581
100,2.037037e-03,0.326910
101,2.159197e-03,0.326876
102,2.211806e-03,0.324956
103,2.268998e-03,0.324126
104,2.469866e-03,0.325870
105,2.536800e-03,0.325248
106,2.789297e-03,0.331764
107,2.905803e-03,0.330808
108,2.942258e-03,0.328361
109,3.086420e-03,0.331055
110,3.101720e-03,0.328573
111,3.166839e-03,0.326068
112,3.261046e-03,0.326004
113,3.340561e-03,0.327642
114,3.343621e-03,0.323535
115,3.343621e-03,0.323535
116,3.727481e-03,0.329983
117,3.780244e-03,0.327936
118,3.875045e-03,0.328627
119,3.906250e-03,0.323650
120,3.906250e-03,0.323650
121,4.084967e-03,0.326661
122,4.120287e-03,0.324184
123,4.197531e-03,0.325724
124,4.464988e-03,0.330565
125,4.550439e-03,0.331540
126,4.587818e-03,0.329393
127,4.629630e-03,0.339825
128,4.629630e-03,0.339825
129,4.629630e-03,0.339825
130,4.629630e-03,0.339825
131,4.629630e-03,0.339825
132,4.629630e-03,0.339825
133,4.629630e-03,0.339825
134,4.629630e-03,0.339825
135,4.826649e-03,0.339656
136,4.833248e-03,0.337426
137,4.925782e-03,0.338186
138,5.063657e-03,0.346775
139,5.063657e-03,0.346775
140,5.063657e-03,0.346775
141,5.063657e-03,0.346775
142,5.063657e-03,0.346775
143,5.336257e-03,0.348290
144,5.417941e-03,0.346594
145,5.486968e-03,0.345924
146,5.675353e-03,0.348517
147,5.678105e-03,0.346241
148,5.911494e-03,0.347476
149,5.923084e-03,0.345188
150,5.925260e-03,0.343017
151,6.299312e-03,0.346026
152,6.495048e-03,0.345618
153,6.636056e-03,0.344775
154,6.798801e-03,0.346422
155,6.844996e-03,0.344681
156,6.944444e-03,0.344421
157,6.944444e-03,0.344421
158,6.944444e-03,0.344421
159,6.944444e-03,0.344421
160,6.944444e-03,0.344421
161,6.944444e-03,0.344421
162,6.944444e-03,0.344421
163,6.944444e-03,0.344421
164,6.944444e-03,0.344421
165,7.031250e-03,0.343394
166,7.053571e-03,0.341440
167,7.094479e-03,0.339808
168,7.115010e-03,0.338506
169,7.175926e-03,0.339399
170,7.223425e-03,0.337606
171,7.239057e-03,0.337673
172,7.326007e-03,0.336971
173,7.334184e-03,0.335107
174,7.440476e-03,0.333449
175,7.440476e-03,0.333449
176,7.523148e-03,0.333136
177,7.523148e-03,0.333136
178,7.575758e-03,0.333801
179,7.647681e-03,0.334081
180,7.786195e-03,0.333672
181,7.794902e-03,0.332967
182,7.812500e-03,0.332113
183,7.833333e-03,0.330366
184,7.870370e-03,0.329617
185,7.961659e-03,0.329219
186,8.080808e-03,0.327884
187,8.623321e-03,0.330428
188,8.701989e-03,0.329191
189,8.730159e-03,0.328039
190,8.730159e-03,0.328039
191,8.735046e-03,0.326395
192,8.825093e-03,0.325453
193,8.950062e-03,0.324858
194,9.190841e-03,0.325321
195,9.190841e-03,0.325321
196,9.259259e-03,0.325216
197,9.259259e-03,0.325216
198,9.523810e-03,0.325250
199,9.554516e-03,0.324347
200,9.569587e-03,0.322935
201,9.644153e-03,0.322343
202,9.750000e-03,0.321983
203,9.920635e-03,0.324596
204,1.034630e-02,0.326115
205,1.039497e-02,0.324593
206,1.093750e-02,0.333201
207,1.096211e-02,0.332130
208,1.111111e-02,0.337182
209,1.111111e-02,0.337182
210,1.111111e-02,0.337182
211,1.111111e-02,0.337182
212,1.125000e-02,0.337800
213,1.145869e-02,0.339333
214,1.188937e-02,0.341241
215,1.190476e-02,0.339486
216,1.190476e-02,0.339486
217,1.204902e-02,0.338576
218,1.207961e-02,0.337706
219,1.240880e-02,0.338429
220,1.254261e-02,0.339268
221,1.280702e-02,0.342262
222,1.307165e-02,0.349336
223,1.319711e-02,0.348464
224,1.323480e-02,0.347232
225,1.328045e-02,0.345876
226,1.339286e-02,0.345243
227,1.365904e-02,0.346421
228,1.372354e-02,0.345697
229,1.388889e-02,0.356765
230,1.388889e-02,0.356765
231,1.400543e-02,0.356574
232,1.428571e-02,0.357041
233,1.430976e-02,0.359103
234,1.430976e-02,0.359103
235,1.477273e-02,0.361636
236,1.488676e-02,0.362144
237,1.500000e-02,0.361648
238,1.523920e-02,0.364615
239,1.523920e-02,0.364615
240,1.540179e-02,0.370833
241,1.562500e-02,0.369926
242,1.562500e-02,0.369926
243,1.574498e-02,0.368823
244,1.583653e-02,0.370260
245,1.587302e-02,0.369654
246,1.587302e-02,0.369654
247,1.587302e-02,0.369654
248,1.620370e-02,0.372071
249,1.620370e-02,0.372071
250,1.620370e-02,0.372071
251,1.620370e-02,0.372071
252,1.620370e-02,0.372071
253,1.620370e-02,0.372071
254,1.627519e-02,0.371094
255,1.633987e-02,0.376270
256,1.633987e-02,0.376270
257,1.633987e-02,0.376270
258,1.638876e-02,0.375062
259,1.658951e-02,0.376037
260,1.666667e-02,0.377524
261,1.666667e-02,0.377524
262,1.666667e-02,0.377524
263,1.666667e-02,0.377524
264,1.666667e-02,0.377524
265,1.666667e-02,0.377524
266,1.666667e-02,0.377524
267,1.666667e-02,0.377524
268,1.666667e-02,0.377524
269,1.666667e-02,0.377524
270,1.666667e-02,0.377524
271,1.666667e-02,0.377524
272,1.666667e-02,0.377524
273,1.666667e-02,0.377524
274,1.666667e-02,0.377524
275,1.666667e-02,0.377524
276,1.677109e-02,0.376813
277,1.690331e-02,0.375930
278,1.701931e-02,0.375137
279,1.712963e-02,0.375315
280,1.716942e-02,0.374375
281,1.736111e-02,0.375226
282,1.738007e-02,0.373998
283,1.741743e-02,0.373154
284,1.752646e-02,0.372472
285,1.752646e-02,0.372472
286,1.752646e-02,0.372472
287,1.773516e-02,0.371976
288,1.785714e-02,0.375392
289,1.805556e-02,0.376397
290,1.805556e-02,0.376397
291,1.810516e-02,0.377787
292,1.810516e-02,0.377787
293,1.810516e-02,0.377787
294,1.810516e-02,0.377787
295,1.824846e-02,0.378085
296,1.825397e-02,0.379455
297,1.825397e-02,0.379455
298,1.825397e-02,0.379455
299,1.826807e-02,0.378896
300,1.827311e-02,0.377723
301,1.840123e-02,0.377282
302,1.846591e-02,0.376430
303,1.851852e-02,0.378889
304,1.855684e-02,0.378053
305,1.864734e-02,0.381390
306,1.875000e-02,0.379793
307,1.875000e-02,0.379793
308,1.884921e-02,0.380126
309,1.884921e-02,0.380126
310,1.884921e-02,0.380126
311,1.918836e-02,0.382133
312,1.929563e-02,0.381115
313,1.930240e-02,0.380034
314,1.932870e-02,0.378943
315,1.936482e-02,0.377965
316,1.944444e-02,0.377287
317,1.944444e-02,0.377287
318,1.944444e-02,0.377287
319,1.944444e-02,0.377287
320,1.944444e-02,0.377287
321,1.956628e-02,0.376857
322,1.979566e-02,0.390863
323,1.979566e-02,0.390863
324,1.979566e-02,0.390863
325,1.979566e-02,0.390863
326,1.979566e-02,0.390863
327,1.979566e-02,0.390863
328,1.979566e-02,0.390863
329,1.979566e-02,0.390863
330,1.979566e-02,0.390863
331,1.979566e-02,0.390863
332,1.979566e-02,0.390863
333,1.979566e-02,0.390863
334,2.024402e-02,0.391265
335,2.083333e-02,0.392929
336,2.083333e-02,0.392929
337,2.088010e-02,0.392099
338,2.134503e-02,0.399122
339,2.134503e-02,0.399122
340,2.134503e-02,0.399122
341,2.134503e-02,0.399122
342,2.134503e-02,0.399122
343,2.134503e-02,0.399122
344,2.134503e-02,0.399122
345,2.134503e-02,0.399122
346,2.171841e-02,0.400954
347,2.182540e-02,0.408509
348,2.182540e-02,0.408509
349,2.182540e-02,0.408509
350,2.207966e-02,0.408293
351,2.222222e-02,0.408710
