resample,min_pval_exp,min_pval_theta
0,4.093973e-03,1.000000e+00
1,6.677866e-04,1.000000e+00
2,2.075660e-03,1.000000e+00
3,7.367755e-04,1.000000e+00
4,4.962384e-03,1.000000e+00
5,2.717416e-03,1.000000e+00
6,2.967755e-03,1.000000e+00
7,1.005801e-03,1.000000e+00
8,3.283914e-03,1.000000e+00
9,3.176186e-04,1.000000e+00
10,3.721650e-03,1.000000e+00
11,3.751614e-03,1.000000e+00
12,1.232151e-03,1.000000e+00
13,1.028427e-03,1.000000e+00
14,3.570108e-03,1.000000e+00
15,3.209525e-04,1.000000e+00
16,6.677866e-04,1.000000e+00
17,6.439968e-03,1.000000e+00
18,2.143347e-05,1.000000e+00
19,9.000000e-04,1.000000e+00
20,3.210375e-03,1.000000e+00
21,2.023401e-04,1.000000e+00
22,9.427788e-04,1.000000e+00
23,4.601276e-04,1.000000e+00
24,7.412920e-03,1.000000e+00
25,1.385346e-03,1.000000e+00
26,2.126340e-03,1.000000e+00
27,3.580729e-04,1.000000e+00
28,7.554977e-04,1.000000e+00
29,6.276633e-03,1.000000e+00
30,1.600984e-04,1.000000e+00
31,3.484876e-03,1.000000e+00
32,1.025567e-03,1.000000e+00
33,6.668599e-03,1.000000e+00
34,3.463325e-03,1.000000e+00
35,2.397960e-03,1.000000e+00
36,2.714040e-03,1.000000e+00
37,5.576808e-04,1.000000e+00
38,4.688925e-05,1.000000e+00
39,2.626595e-03,1.000000e+00
40,1.097470e-02,1.000000e+00
41,4.608792e-03,1.000000e+00
42,3.827363e-03,1.000000e+00
43,1.125860e-03,1.000000e+00
44,1.946246e-03,1.000000e+00
45,2.676227e-03,1.000000e+00
46,3.809587e-03,1.000000e+00
47,1.707539e-03,1.000000e+00
48,4.008838e-03,1.000000e+00
49,4.595328e-03,1.000000e+00
50,3.569461e-04,1.000000e+00
51,4.493073e-03,1.000000e+00
52,3.948712e-04,1.000000e+00
53,3.938612e-04,1.000000e+00
54,2.320099e-04,1.000000e+00
55,3.809587e-03,1.000000e+00
56,5.208333e-04,1.000000e+00
57,4.375000e-03,1.000000e+00
58,4.076583e-04,1.000000e+00
59,2.065094e-03,1.000000e+00
60,3.838384e-03,1.000000e+00
61,4.578889e-03,1.000000e+00
62,5.603087e-03,1.000000e+00
63,1.668307e-03,1.000000e+00
64,4.206731e-03,1.000000e+00
65,1.535594e-03,1.000000e+00
66,1.667653e-03,1.000000e+00
67,1.202836e-03,1.000000e+00
68,9.968171e-04,1.000000e+00
69,6.193486e-04,1.000000e+00
70,2.500000e-03,1.000000e+00
71,1.263181e-03,1.000000e+00
72,7.213024e-04,1.000000e+00
73,1.577128e-03,1.000000e+00
74,3.823947e-03,1.000000e+00
75,3.303906e-03,1.000000e+00
76,6.520258e-04,1.000000e+00
77,4.863215e-04,1.000000e+00
78,1.647073e-03,1.000000e+00
79,3.971101e-03,1.000000e+00
80,1.062925e-03,1.000000e+00
81,3.236419e-03,1.000000e+00
82,4.443034e-03,1.000000e+00
83,3.642264e-03,1.000000e+00
84,9.427788e-04,1.000000e+00
85,9.049660e-04,1.000000e+00
86,1.860190e-03,1.000000e+00
87,3.170671e-03,1.000000e+00
88,3.255208e-03,1.000000e+00
89,1.577128e-03,1.000000e+00
90,4.608792e-03,1.000000e+00
91,2.824401e-03,1.000000e+00
92,3.572899e-03,1.000000e+00
93,1.066707e-03,1.000000e+00
94,6.644376e-04,1.000000e+00
95,1.682330e-04,1.000000e+00
96,3.963545e-04,1.000000e+00
97,4.443034e-03,1.000000e+00
98,5.918196e-03,1.000000e+00
99,4.443034e-03,1.000000e+00
100,2.027034e-03,1.000000e+00
101,1.946428e-03,1.000000e+00
102,3.809587e-03,1.000000e+00
103,2.321597e-04,1.000000e+00
104,9.607264e-04,1.000000e+00
105,1.577128e-03,1.000000e+00
106,1.466049e-03,1.000000e+00
107,1.400218e-03,1.000000e+00
108,1.755097e-03,1.000000e+00
109,2.794230e-03,1.000000e+00
110,1.946428e-03,1.000000e+00
111,4.583193e-03,1.000000e+00
112,1.522550e-03,1.000000e+00
113,3.564815e-03,1.000000e+00
114,4.543166e-03,1.000000e+00
115,5.317283e-03,1.000000e+00
116,1.577128e-03,1.000000e+00
117,1.232151e-03,1.000000e+00
118,3.809587e-03,1.000000e+00
119,6.520258e-04,1.000000e+00
120,1.915800e-03,1.000000e+00
121,3.009259e-03,1.000000e+00
122,4.859626e-03,1.000000e+00
123,5.734960e-04,1.000000e+00
124,2.443382e-03,1.000000e+00
125,4.276405e-03,1.000000e+00
126,2.189217e-03,1.000000e+00
127,2.031250e-03,1.000000e+00
128,7.006348e-03,1.000000e+00
129,1.707539e-03,1.000000e+00
130,3.906250e-03,1.000000e+00
131,9.350198e-04,1.000000e+00
132,4.962764e-03,1.000000e+00
133,2.554563e-03,1.000000e+00
134,8.196669e-04,1.000000e+00
135,6.102431e-03,1.000000e+00
136,6.864075e-04,1.000000e+00
137,6.762109e-04,1.000000e+00
138,8.814515e-04,1.000000e+00
139,1.619273e-03,1.000000e+00
140,6.644376e-04,1.000000e+00
141,9.427788e-04,1.000000e+00
142,5.670031e-03,1.000000e+00
143,3.120985e-03,1.000000e+00
144,2.821799e-03,1.000000e+00
145,3.642264e-03,1.000000e+00
146,5.468750e-03,1.000000e+00
147,1.899049e-03,1.000000e+00
148,3.938612e-04,1.000000e+00
149,1.692505e-03,1.000000e+00
