rank,pvalue,fdr_theta
1,5.003879e-06,0.000500
2,2.452104e-05,0.000500
3,1.258357e-04,0.004167
4,2.441406e-04,0.005500
5,3.332223e-04,0.005300
6,3.371991e-04,0.004417
7,3.381294e-04,0.003786
8,3.393179e-04,0.003438
9,3.403731e-04,0.003056
10,3.471039e-04,0.003050
11,3.540691e-04,0.003136
12,3.630294e-04,0.002917
13,3.770173e-04,0.002962
14,3.982520e-04,0.003286
15,4.026039e-04,0.003167
16,4.385491e-04,0.003938
17,4.411723e-04,0.003824
18,4.439564e-04,0.003639
19,4.463072e-04,0.003500
20,4.478183e-04,0.003375
21,4.550676e-04,0.003286
22,4.673706e-04,0.003455
23,5.122017e-04,0.003957
24,5.140410e-04,0.003792
25,5.637642e-04,0.004260
26,5.653875e-04,0.004096
27,5.854598e-04,0.004056
28,6.016259e-04,0.004125
29,6.062359e-04,0.004069
30,6.070098e-04,0.003967
31,6.446065e-04,0.004210
32,8.383607e-04,0.006203
33,1.036057e-03,0.007909
34,1.173626e-03,0.009074
35,1.257451e-03,0.010357
36,1.299739e-03,0.010583
37,1.393389e-03,0.011514
38,1.394400e-03,0.011342
39,1.558798e-03,0.012423
40,1.634103e-03,0.012663
41,1.636071e-03,0.012378
42,1.650044e-03,0.012190
43,1.670153e-03,0.012023
44,1.758023e-03,0.012761
45,1.942117e-03,0.013389
46,2.059782e-03,0.014000
47,2.143817e-03,0.014351
48,2.178522e-03,0.014479
49,2.439949e-03,0.016367
50,2.562896e-03,0.017090
51,2.632170e-03,0.017255
52,2.756296e-03,0.017817
53,2.936521e-03,0.018613
54,2.952377e-03,0.018463
55,3.157974e-03,0.019309
56,3.568789e-03,0.021482
57,3.802859e-03,0.022386
58,3.883066e-03,0.023147
59,3.947323e-03,0.023653
60,4.121827e-03,0.024908
61,4.309735e-03,0.026598
62,4.500098e-03,0.028315
63,4.844276e-03,0.030190
64,4.904487e-03,0.030094
65,5.163312e-03,0.031115
66,5.410988e-03,0.031947
67,6.019827e-03,0.035381
68,6.099207e-03,0.035610
69,6.777148e-03,0.040783
70,6.786935e-03,0.040279
71,6.827926e-03,0.040028
72,6.860360e-03,0.039938
73,6.964085e-03,0.040308
74,7.021076e-03,0.040243
75,7.217708e-03,0.041313
